experiment,checkpoint_step,train_loss,wall_time_min,heldout_mae,in_sample_mae,train_heldout_gap
combined65_baseline_uniform,2500,0.124,16.15,4.71568,,
combined65_early_weight_only,2500,0.123,15.63,4.653376,,
combined65_reweight2_1,2500,0.123,15.8,4.867215,4.906244,-0.0390290000000002
combined65_reweight3_1,2500,0.112,15.82,4.710171,4.692042,0.01812900000000006
combined65_reweight2_1_early_action,2500,0.121,15.78,5.000373,4.856394,0.14397899999999986
combined65_baseline_uniform,5000,0.082,32.95,4.34042,,
combined65_early_weight_only,5000,0.082,32.0,4.429281,,
combined65_reweight2_1,5000,0.08,32.25,4.108792,3.838518,0.2702740000000001
combined65_reweight3_1,5000,0.073,32.25,3.63416,3.503906,0.13025399999999987
combined65_reweight2_1_early_action,5000,0.079,32.27,4.113543,3.7507,0.3628429999999998
combined65_baseline_uniform,7500,0.066,49.85,3.412268,,
combined65_early_weight_only,7500,0.064,48.57,3.402267,,
combined65_reweight2_1,7500,0.059,48.7,3.587668,3.040018,0.54765
combined65_reweight3_1,7500,0.06,48.7,3.567275,3.076241,0.49103399999999997
combined65_reweight2_1_early_action,7500,0.058,48.63,3.608191,3.032883,0.5753080000000002
combined65_baseline_uniform,10000,0.053,66.63,3.639608,,
combined65_early_weight_only,10000,0.052,64.85,3.61082,,
combined65_reweight2_1,10000,0.054,65.17,3.527781,2.896945,0.630836
combined65_reweight3_1,10000,0.049,65.13,3.67932,3.012291,0.6670290000000003
combined65_reweight2_1_early_action,10000,0.053,65.13,3.541337,2.884956,0.6563810000000001
