seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-1.971480,3.877648,-12.454808,0.096592,0.364210,0.277917,1,1,"elbow_flex",8.163730
1,-1.577842,9.773912,-7.614262,-0.993854,0.461936,-0.130615,2,1,"shoulder_lift;elbow_flex",6.982736
2,0.637294,1.047471,-4.863782,-0.366974,0.423401,0.231692,0,0,"",3.023665
3,0.189853,1.049676,-7.263371,0.898541,0.370320,0.577142,1,1,"elbow_flex",4.053890
4,-2.142594,2.620248,-7.369901,0.040974,0.520408,1.017513,1,1,"elbow_flex",4.088366
5,-0.344878,3.740441,-6.502774,1.198979,0.451360,-0.312312,1,1,"elbow_flex",2.258184
6,0.017697,0.825502,-6.189381,0.946736,0.260731,0.254972,1,1,"elbow_flex",3.569653
7,-0.473762,4.650933,-7.202679,0.193295,0.349785,-0.553293,1,1,"elbow_flex",2.823971
8,-1.142436,1.848596,-4.334859,0.240086,0.539474,0.148495,0,0,"",2.551466
9,-0.363269,1.552659,-6.840520,0.010349,0.370885,-0.362691,1,1,"elbow_flex",3.295341
10,-0.273034,4.834832,-7.073018,-0.200584,0.366799,0.720980,1,1,"elbow_flex",2.940458
11,-0.225890,1.823503,-7.153569,0.227932,0.532954,0.704547,1,1,"elbow_flex",3.496091
12,-0.670680,-0.821288,-5.172978,-0.226189,0.207725,0.693626,0,0,"",4.933048
13,1.424466,1.562837,-5.623029,0.656490,0.512931,0.171307,0,0,"",2.946769
14,-0.724885,3.296418,-6.943570,-0.601795,0.382049,0.098180,1,1,"elbow_flex",2.762352
15,-1.740685,7.096238,-8.327329,-0.595760,0.449559,0.124742,2,1,"shoulder_lift;elbow_flex",5.387522
16,-2.246112,5.724382,-9.131963,1.647831,0.441676,0.637854,2,1,"shoulder_lift;elbow_flex",5.740311
17,-1.109611,2.848931,-5.560277,-1.138103,0.394960,-0.221969,0,0,"",2.381354
18,0.333213,1.324266,-5.179601,0.058571,0.125340,0.633248,0,0,"",2.792391
19,0.055961,1.938249,-2.686925,-2.159325,0.706721,0.983232,0,0,"",3.930879
