experiment,checkpoint_step,train_loss,wall_time_min,heldout_mae,in_sample_mae,train_heldout_gap
v2_baseline,2500,,,5.387455,,
combined65_baseline,2500,0.124,16.15,4.71568,,
combined65_early_weight_v1,2500,0.123,15.63,4.653376,,
reinforcement30_only_v1,2500,0.164,15.8,5.474265,4.226688,1.2475769999999997
combined65_reweight_new2_old1_v1,2500,0.123,15.8,4.867215,4.906244,-0.0390290000000002
v2_baseline,5000,,,4.290886,,
combined65_baseline,5000,0.082,32.95,4.34042,,
combined65_early_weight_v1,5000,0.082,32.0,4.429281,,
reinforcement30_only_v1,5000,0.11,32.45,4.1449,2.754444,1.390456
combined65_reweight_new2_old1_v1,5000,0.08,32.25,4.108792,3.838518,0.2702740000000001
v2_baseline,7500,,,3.984113,,
combined65_baseline,7500,0.066,49.85,3.412268,,
combined65_early_weight_v1,7500,0.064,48.57,3.402267,,
reinforcement30_only_v1,7500,0.072,49.03,3.88119,2.249177,1.6320130000000002
combined65_reweight_new2_old1_v1,7500,0.059,48.7,3.587668,3.040018,0.54765
v2_baseline,10000,,,4.220978,,
combined65_baseline,10000,0.053,66.63,3.639608,,
combined65_early_weight_v1,10000,0.052,64.85,3.61082,,
reinforcement30_only_v1,10000,0.07,65.67,3.976039,2.223431,1.752608
combined65_reweight_new2_old1_v1,10000,0.054,65.17,3.527781,2.896945,0.630836
