seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-6.250607,1.823411,-22.809346,0.740727,0.495994,-1.106773,2,1,"shoulder_pan;elbow_flex",19.435249
1,-5.186733,16.348169,-14.743245,0.047627,0.747444,-1.060991,3,1,"shoulder_pan;shoulder_lift;elbow_flex",16.981055
2,-1.513255,-6.039168,-3.030667,-1.844601,0.495674,-0.691461,1,1,"shoulder_lift",10.404704
3,-1.246928,-1.759711,-13.203435,1.749638,0.438099,-0.594053,1,1,"elbow_flex",10.494891
4,-8.810905,-0.669516,-9.857877,-1.371647,0.812637,0.896561,2,1,"shoulder_pan;elbow_flex",11.561256
5,-1.200570,5.362229,-8.346310,2.639416,0.567433,-3.155580,2,1,"shoulder_lift;elbow_flex",5.688797
6,-1.488820,-1.707106,-8.321652,1.060032,0.139394,-1.169254,1,1,"elbow_flex",7.004780
7,-3.308898,5.417253,-10.179478,0.880688,0.338039,-2.735269,2,1,"shoulder_lift;elbow_flex",7.207388
8,-6.223268,-0.999938,-3.727757,0.447289,0.796741,-0.448852,1,1,"shoulder_pan",8.141554
9,-2.080001,-3.916434,-8.332539,-0.748630,0.364848,-3.068218,1,1,"elbow_flex",9.391076
10,-2.478902,5.365220,-9.673825,-1.294300,0.495881,0.571210,2,1,"shoulder_lift;elbow_flex",6.189260
11,-2.724011,-4.023963,-9.455075,-0.217777,0.631257,-0.171491,1,1,"elbow_flex",9.738987
12,-5.058269,-15.492469,-4.796964,-3.544987,-0.041799,1.710183,2,1,"shoulder_pan;shoulder_lift",20.507679
13,1.813621,1.665612,-7.173772,0.894795,0.600508,-1.134967,1,1,"elbow_flex",3.958533
14,-5.372093,-1.275893,-10.083829,-3.092518,0.515548,-0.809631,2,1,"shoulder_pan;elbow_flex",9.935687
15,-7.264690,8.327897,-13.310475,-1.208481,0.629912,-0.921787,3,1,"shoulder_pan;shoulder_lift;elbow_flex",12.400438
16,-6.613845,10.397523,-15.720479,3.533985,0.607391,-0.260488,3,1,"shoulder_pan;shoulder_lift;elbow_flex",14.950814
17,-6.729471,0.485681,-1.861241,-4.523582,0.439129,-2.761752,2,1,"shoulder_pan;wrist_flex",9.769400
18,-0.362161,-3.516524,-7.319905,-1.188022,-0.151076,0.223944,1,1,"elbow_flex",8.026230
19,-2.681878,-3.682837,3.349979,-7.972545,1.068015,0.524349,1,1,"wrist_flex",14.064013
