scene,synthetic,single_clamp_free_pct,median3_clamp_free_pct,median5_clamp_free_pct,resample3_clamp_free_pct,resample5_clamp_free_pct,single_gt_l2_mean_deg,resample3_gt_l2_mean_deg,resample5_gt_l2_mean_deg,resample3_avg_inference,resample5_avg_inference,shoulder_pan_clamp_rate_pct,shoulder_lift_clamp_rate_pct,elbow_flex_clamp_rate_pct,wrist_flex_clamp_rate_pct,wrist_roll_clamp_rate_pct,gripper_clamp_rate_pct
T01,0,20.0,11.2,6.2,51.5,71.9,4.617,3.104,3.308,2.43,3.28,0.0,45.0,75.0,0.0,0.0,0.0
T02,0,20.0,13.0,8.7,51.8,72.4,4.252,2.826,2.902,2.43,3.27,0.0,50.0,70.0,0.0,0.0,0.0
T03,0,15.0,7.7,4.0,41.0,60.3,4.793,3.029,3.129,2.56,3.64,0.0,55.0,75.0,0.0,0.0,0.0
T04,0,25.0,16.7,11.3,60.8,81.0,4.274,3.216,3.456,2.3,2.96,0.0,45.0,70.0,0.0,0.0,0.0
T05,0,10.0,4.2,1.6,29.0,45.1,4.773,2.882,3.018,2.7,4.03,0.0,65.0,75.0,0.0,0.0,0.0
T06,0,20.0,10.9,5.9,51.5,71.9,4.574,3.189,3.399,2.43,3.28,0.0,50.0,75.0,0.0,0.0,0.0
T07,0,20.0,11.2,6.2,51.5,71.9,4.46,3.067,3.259,2.43,3.28,0.0,45.0,75.0,0.0,0.0,0.0
T08,0,20.0,11.2,6.2,51.5,71.9,4.178,2.886,3.12,2.43,3.28,0.0,45.0,75.0,0.0,0.0,0.0
T09,0,45.0,42.1,39.6,86.0,97.1,4.009,3.153,3.208,1.83,2.03,0.0,35.0,55.0,0.0,0.0,0.0
T10,0,10.0,3.7,1.3,29.0,45.1,4.611,2.912,3.052,2.7,4.03,0.0,70.0,75.0,0.0,0.0,0.0

AVERAGE (T01-T10),,,,,,,,,,,,,,,,,
average,,20.5,13.2,9.1,50.4,68.9,4.454,3.026,3.185,2.42,3.31,0.0,50.5,72.0,0.0,0.0,0.0
