scene,synthetic,single_clamp_free_pct,median3_clamp_free_pct,median5_clamp_free_pct,resample3_clamp_free_pct,resample5_clamp_free_pct,single_gt_l2_mean_deg,resample3_gt_l2_mean_deg,resample5_gt_l2_mean_deg,resample3_avg_inference,resample5_avg_inference,shoulder_pan_clamp_rate_pct,shoulder_lift_clamp_rate_pct,elbow_flex_clamp_rate_pct,wrist_flex_clamp_rate_pct,wrist_roll_clamp_rate_pct,gripper_clamp_rate_pct
T01,0,0.0,0.0,0.0,0.0,0.0,5.51,2.564,2.572,3.0,5.0,0.0,50.0,95.0,0.0,0.0,0.0
T02,0,5.0,0.0,0.0,15.2,25.3,5.298,2.556,2.535,2.85,4.5,0.0,40.0,95.0,0.0,0.0,0.0
T03,0,0.0,0.0,0.0,0.0,0.0,5.948,2.681,2.691,3.0,5.0,0.0,65.0,95.0,0.0,0.0,0.0
T04,0,0.0,0.0,0.0,0.0,0.0,5.229,2.47,2.479,3.0,5.0,0.0,50.0,95.0,0.0,0.0,0.0
T05,0,5.0,0.0,0.0,15.2,25.3,5.902,2.776,2.774,2.85,4.5,0.0,45.0,95.0,0.0,0.0,0.0
T06,0,0.0,0.0,0.0,0.0,0.0,6.626,2.727,2.737,3.0,5.0,0.0,60.0,100.0,0.0,0.0,0.0
T07,0,0.0,0.0,0.0,0.0,0.0,6.856,2.881,2.889,3.0,5.0,0.0,60.0,100.0,0.0,0.0,0.0
T08,0,0.0,0.0,0.0,0.0,0.0,4.998,2.285,2.292,3.0,5.0,0.0,50.0,95.0,0.0,0.0,0.0
T09,0,0.0,0.0,0.0,0.0,0.0,6.594,2.51,2.521,3.0,5.0,0.0,60.0,100.0,0.0,0.0,0.0
T10,0,0.0,0.0,0.0,0.0,0.0,5.868,2.585,2.594,3.0,5.0,0.0,60.0,100.0,0.0,0.0,0.0

AVERAGE (T01-T10),,,,,,,,,,,,,,,,,
average,,1.0,0.0,0.0,3.0,5.1,5.883,2.603,2.608,2.97,4.9,0.0,54.0,97.0,0.0,0.0,0.0
