scene,synthetic,single_clamp_free_pct,median3_clamp_free_pct,median5_clamp_free_pct,resample3_clamp_free_pct,resample5_clamp_free_pct,single_gt_l2_mean_deg,resample3_gt_l2_mean_deg,resample5_gt_l2_mean_deg,resample3_avg_inference,resample5_avg_inference,shoulder_pan_clamp_rate_pct,shoulder_lift_clamp_rate_pct,elbow_flex_clamp_rate_pct,wrist_flex_clamp_rate_pct,wrist_roll_clamp_rate_pct,gripper_clamp_rate_pct
T01,0,5.0,0.8,0.1,15.3,25.1,5.615,2.753,2.654,2.85,4.49,0.0,80.0,80.0,0.0,0.0,0.0
T02,0,5.0,1.1,0.1,15.3,25.1,5.338,2.761,2.646,2.85,4.49,0.0,75.0,80.0,0.0,0.0,0.0
T03,0,0.0,0.0,0.0,0.0,0.0,6.349,2.942,2.95,3.0,5.0,0.0,90.0,85.0,0.0,0.0,0.0
T04,0,5.0,0.8,0.1,15.3,25.1,5.482,2.7,2.614,2.85,4.49,0.0,80.0,80.0,0.0,0.0,0.0
T05,0,0.0,0.0,0.0,0.0,0.0,6.179,3.145,3.154,3.0,5.0,0.0,85.0,85.0,0.0,0.0,0.0
T06,0,0.0,0.0,0.0,0.0,0.0,6.801,3.009,3.017,3.0,5.0,0.0,85.0,95.0,0.0,0.0,0.0
T07,0,0.0,0.0,0.0,0.0,0.0,7.015,3.114,3.122,3.0,5.0,0.0,90.0,95.0,0.0,0.0,0.0
T08,0,5.0,0.5,0.0,15.3,25.1,5.616,2.528,2.46,2.85,4.49,0.0,85.0,80.0,0.0,0.0,0.0
T09,0,0.0,0.0,0.0,0.0,0.0,6.441,2.78,2.789,3.0,5.0,0.0,85.0,95.0,0.0,0.0,0.0
T10,0,5.0,0.5,0.0,15.3,25.1,5.62,2.707,2.641,2.85,4.49,0.0,85.0,80.0,0.0,0.0,0.0

AVERAGE (T01-T10),,,,,,,,,,,,,,,,,
average,,2.5,0.4,0.0,7.6,12.6,6.046,2.844,2.805,2.93,4.75,0.0,84.0,85.5,0.0,0.0,0.0
