scene,synthetic,single_clamp_free_pct,median3_clamp_free_pct,median5_clamp_free_pct,resample3_clamp_free_pct,resample5_clamp_free_pct,single_gt_l2_mean_deg,resample3_gt_l2_mean_deg,resample5_gt_l2_mean_deg,resample3_avg_inference,resample5_avg_inference,shoulder_pan_clamp_rate_pct,shoulder_lift_clamp_rate_pct,elbow_flex_clamp_rate_pct,wrist_flex_clamp_rate_pct,wrist_roll_clamp_rate_pct,gripper_clamp_rate_pct
T01,0,20.0,11.2,6.2,51.5,71.9,4.617,3.104,3.308,2.43,3.28,0.0,45.0,75.0,0.0,0.0,0.0
T02,1,55.0,57.9,60.4,92.7,99.2,5.939,4.19,4.082,1.64,1.74,0.0,45.0,5.0,0.0,0.0,0.0
T03,1,55.0,57.9,60.4,92.7,99.2,6.485,4.601,4.504,1.64,1.74,0.0,45.0,15.0,0.0,0.0,0.0
T04,1,45.0,46.1,47.7,85.7,97.0,6.853,4.77,4.617,1.83,2.04,0.0,50.0,30.0,0.0,0.0,0.0
T05,1,55.0,57.9,60.4,92.7,99.2,6.68,4.825,4.759,1.64,1.74,0.0,45.0,10.0,0.0,0.0,0.0
T06,1,45.0,42.1,39.6,85.8,97.1,6.603,4.63,4.487,1.84,2.04,0.0,55.0,10.0,0.0,0.0,0.0
T07,1,20.0,12.3,6.9,51.7,72.5,7.987,5.38,5.053,2.42,3.27,0.0,75.0,30.0,0.0,0.0,0.0
T08,1,15.0,4.6,0.9,41.2,60.7,8.502,5.47,5.115,2.56,3.63,0.0,85.0,30.0,0.0,0.0,0.0
T09,1,30.0,20.2,13.1,68.7,87.3,7.242,4.966,4.71,2.17,2.69,0.0,70.0,20.0,0.0,0.0,0.0
T10,1,55.0,57.9,60.4,92.7,99.2,6.265,4.422,4.327,1.64,1.74,0.0,45.0,10.0,0.0,0.0,0.0

AVERAGE (T01-T10),,,,,,,,,,,,,,,,,
average,,39.5,36.8,35.6,75.5,88.3,6.717,4.636,4.496,1.98,2.39,0.0,56.0,23.5,0.0,0.0,0.0
