seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-2.784060,7.658998,-13.067172,0.551838,0.240239,0.291512,2,1,"shoulder_lift;elbow_flex",9.754901
1,-1.391587,14.199441,-9.855388,-0.432335,0.343898,-0.047740,2,1,"shoulder_lift;elbow_flex",11.719093
2,-0.821158,4.632173,-5.443782,0.147358,0.327175,0.767828,0,0,"",1.904804
3,-0.614848,5.277002,-9.046306,1.523659,0.227332,0.692993,2,1,"shoulder_lift;elbow_flex",5.007187
4,-2.616559,6.185113,-8.454021,-0.056026,0.436450,1.336415,2,1,"shoulder_lift;elbow_flex",5.567839
5,-0.913817,7.530259,-8.216731,1.392128,0.263223,0.061206,2,1,"shoulder_lift;elbow_flex",5.404852
6,-1.262294,4.107415,-7.321987,1.351879,0.096517,0.452660,1,1,"elbow_flex",3.371379
7,-1.532437,8.761560,-8.298923,0.790600,0.184695,-0.679464,2,1,"shoulder_lift;elbow_flex",6.400042
8,-1.528968,5.797151,-4.951297,0.903759,0.446517,0.212998,1,1,"shoulder_lift",2.789171
9,-1.531453,5.841836,-8.187923,0.427487,0.242514,-0.106336,2,1,"shoulder_lift;elbow_flex",4.446570
10,-1.208796,9.872079,-9.165424,-0.235943,0.208666,0.977188,2,1,"shoulder_lift;elbow_flex",7.787801
11,-1.257787,4.925874,-7.787570,0.523605,0.399796,0.951583,1,1,"elbow_flex",3.897162
12,-1.334905,-0.163283,-6.082210,0.201180,0.130948,1.326630,1,1,"elbow_flex",4.842612
13,-0.360497,5.835771,-7.495883,0.777279,0.380340,0.535361,2,1,"shoulder_lift;elbow_flex",3.704173
14,-1.688109,7.132630,-8.142925,-0.541401,0.282191,0.268555,2,1,"shoulder_lift;elbow_flex",5.257315
15,-2.272082,10.618928,-9.365840,-0.600002,0.302705,0.179148,2,1,"shoulder_lift;elbow_flex",8.672238
16,-3.169950,10.304025,-11.366985,2.150391,0.310558,0.856258,2,1,"shoulder_lift;elbow_flex",10.172136
17,-1.994893,6.917726,-5.169483,-0.921306,0.258878,-0.147410,1,1,"shoulder_lift",3.971368
18,0.053235,5.555726,-7.468715,0.862805,-0.005327,0.623129,2,1,"shoulder_lift;elbow_flex",3.509592
19,-0.590232,6.054544,-2.713397,-1.945003,0.733507,1.311649,1,1,"shoulder_lift",4.124706
