seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-1.744702,5.675972,-7.731026,0.699310,0.236531,0.815398,2,1,"shoulder_lift;elbow_flex",8.295426
1,-0.030879,13.194496,-4.290382,-0.174053,0.352256,0.581647,1,1,"shoulder_lift",13.097622
2,0.382957,2.581635,0.031242,0.378212,0.342298,1.272808,0,0,"",3.101193
3,0.591794,3.181213,-3.714355,1.826042,0.232306,1.269816,0,0,"",3.803623
4,-1.569687,4.421478,-2.827530,0.178326,0.468538,1.934672,0,0,"",5.016354
5,0.195016,6.225227,-2.128067,1.672016,0.283909,0.463588,1,1,"shoulder_lift",6.057723
6,-0.081177,2.013557,-1.697853,1.620071,0.082886,0.944912,0,0,"",2.340395
7,-0.561789,7.082596,-2.851845,1.034355,0.162501,-0.236376,1,1,"shoulder_lift",6.980346
8,-0.485943,3.976852,1.152512,1.065994,0.472577,0.816644,0,0,"",4.967678
9,-0.468421,3.991394,-2.709435,0.792347,0.251359,0.383430,0,0,"",3.941165
10,-0.016064,8.644524,-3.676460,0.076942,0.211467,1.625353,1,1,"shoulder_lift",8.608968
11,-0.048026,3.134857,-2.288704,0.744526,0.426163,1.564235,0,0,"",3.186332
12,-0.305695,-2.585030,-0.907036,0.339706,0.111259,2.059381,0,0,"",3.670502
13,1.036169,4.006905,-1.585609,0.960514,0.405819,1.083667,0,0,"",3.815084
14,-0.705529,5.574577,-2.805634,-0.281822,0.288901,0.929595,1,1,"shoulder_lift",5.547705
15,-1.199357,9.269730,-3.852409,-0.333912,0.304375,0.817240,1,1,"shoulder_lift",9.361217
16,-2.057684,8.718117,-5.378586,2.306252,0.321004,1.452781,1,1,"shoulder_lift",9.745824
17,-1.223401,5.531471,0.621956,-0.755199,0.259542,0.321780,1,1,"shoulder_lift",6.163780
18,1.444368,3.823593,-2.163643,1.210819,-0.046628,1.300726,0,0,"",3.796372
19,0.846809,4.719208,3.236496,-1.828369,0.771361,2.041327,0,0,"",7.286552
