seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-2.669838,6.457063,-12.120068,0.925160,0.351235,0.423559,2,1,"shoulder_lift;elbow_flex",8.506835
1,-1.126585,13.489007,-8.857709,0.046929,0.479897,0.160101,2,1,"shoulder_lift;elbow_flex",10.622580
2,-0.608002,3.608483,-4.642743,0.585510,0.445606,0.921052,0,0,"",1.626351
3,-0.520819,4.112847,-8.132497,1.927258,0.343871,0.818253,1,1,"elbow_flex",4.161291
4,-2.337836,5.183595,-7.273450,0.418858,0.563823,1.517218,2,1,"shoulder_lift;elbow_flex",4.354276
5,-0.783165,6.728585,-7.190320,1.861874,0.393366,0.164305,2,1,"shoulder_lift;elbow_flex",4.346991
6,-1.201109,2.985788,-6.408597,1.763455,0.209757,0.544788,1,1,"elbow_flex",3.018635
7,-1.514630,7.780084,-7.555920,1.223187,0.301599,-0.559703,2,1,"shoulder_lift;elbow_flex",5.293680
8,-1.390608,4.930062,-3.880399,1.327923,0.567337,0.391056,0,0,"",2.507344
9,-1.379752,4.671189,-7.271550,0.903736,0.359526,-0.007314,1,1,"elbow_flex",3.299496
10,-1.091311,8.873567,-8.270924,0.250473,0.340136,1.121776,2,1,"shoulder_lift;elbow_flex",6.503107
11,-1.002383,3.731134,-6.811925,0.942524,0.523800,1.044064,1,1,"elbow_flex",2.998864
12,-1.134760,-1.435706,-5.257138,0.546105,0.217554,1.529626,0,0,"",5.821235
13,-0.060435,4.754235,-6.392537,1.162693,0.512810,0.700066,1,1,"elbow_flex",2.508572
14,-1.575871,6.068734,-7.242749,-0.067387,0.397843,0.443309,2,1,"shoulder_lift;elbow_flex",3.964541
15,-2.112584,9.721978,-8.476926,-0.136562,0.428451,0.350553,2,1,"shoulder_lift;elbow_flex",7.433789
16,-2.967976,9.324716,-10.160588,2.532711,0.432284,1.023950,2,1,"shoulder_lift;elbow_flex",8.822570
17,-1.948809,6.087396,-4.237218,-0.422809,0.368602,-0.050096,1,1,"shoulder_lift",3.205816
18,0.337598,4.557122,-6.760175,1.327854,0.090541,0.798483,1,1,"elbow_flex",2.759558
19,-0.304398,5.327584,-1.798985,-1.413875,0.844095,1.422124,1,1,"shoulder_lift",4.107388
