seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-4.575145,5.347947,-17.605252,2.069073,0.090017,-0.061652,2,1,"shoulder_lift;elbow_flex",14.036284
1,-1.695184,15.546998,-13.242528,0.524624,0.356156,0.021135,2,1,"shoulder_lift;elbow_flex",14.653732
2,-1.623065,0.627504,-6.739705,1.545651,0.243034,0.506473,1,1,"elbow_flex",4.561080
3,-0.854194,2.898408,-12.402997,3.460762,0.096829,0.223656,1,1,"elbow_flex",8.572252
4,-4.745158,5.020631,-10.897717,1.560646,0.432330,1.788091,2,1,"shoulder_pan;elbow_flex",8.457611
5,-1.751489,6.493470,-10.514104,3.534260,0.241967,-0.394375,2,1,"shoulder_lift;elbow_flex",7.516763
6,-1.641974,2.490152,-10.738499,3.200512,-0.096123,0.138766,1,1,"elbow_flex",7.196696
7,-2.576169,8.304681,-12.752309,2.647778,0.054648,-1.088154,2,1,"shoulder_lift;elbow_flex",9.998457
8,-3.223874,4.693650,-7.455914,2.666187,0.406296,0.456654,1,1,"elbow_flex",5.209875
9,-2.334323,2.364938,-10.926190,2.050224,0.086956,-0.515558,1,1,"elbow_flex",7.197596
10,-1.933499,9.814019,-11.811101,1.024624,0.148192,0.381869,2,1,"shoulder_lift;elbow_flex",9.632212
11,-1.589267,3.137284,-11.151700,2.069973,0.361003,0.823130,1,1,"elbow_flex",7.162968
12,-3.244248,-5.440108,-7.985715,2.025967,-0.154350,1.917884,2,1,"shoulder_lift;elbow_flex",10.861908
13,-0.431485,3.356164,-8.967892,2.390373,0.313230,0.436808,1,1,"elbow_flex",5.002273
14,-2.793187,5.886651,-11.710011,0.721398,0.197179,0.024108,2,1,"shoulder_lift;elbow_flex",7.979696
15,-3.028680,11.645364,-13.959637,0.725674,0.282915,0.005530,2,1,"shoulder_lift;elbow_flex",12.592447
16,-4.588649,9.539430,-15.214734,4.469792,0.209432,1.277301,4,1,"shoulder_pan;shoulder_lift;elbow_flex;wrist_flex",13.708297
17,-4.003814,6.221917,-6.905515,-0.305797,0.172245,-0.500096,2,1,"shoulder_lift;elbow_flex",5.350718
18,0.248368,3.020517,-9.637067,2.216099,-0.279363,0.636883,1,1,"elbow_flex",5.557114
19,-0.479693,3.605226,-2.923741,-1.210461,0.810680,1.821380,0,0,"",3.287204
