episode,length,first_movement_frame,static_length,moving_length,static_fraction
0,329,23,23,306,0.0699
1,329,34,34,295,0.1033
2,328,29,29,299,0.0884
3,329,25,25,304,0.0760
4,329,28,28,301,0.0851
5,328,23,23,305,0.0701
6,329,24,24,305,0.0729
7,329,31,31,298,0.0942
8,329,25,25,304,0.0760
9,329,25,25,304,0.0760
10,329,32,32,297,0.0973
11,329,29,29,300,0.0881
12,328,30,30,298,0.0915
13,329,34,34,295,0.1033
14,329,25,25,304,0.0760
15,329,29,29,300,0.0881
16,329,29,29,300,0.0881
17,328,24,24,304,0.0732
18,328,24,24,304,0.0732
19,328,26,26,302,0.0793
20,329,24,24,305,0.0729
21,329,20,20,309,0.0608
22,329,24,24,305,0.0729
23,329,26,26,303,0.0790
24,329,15,15,314,0.0456
25,329,20,20,309,0.0608
26,328,23,23,305,0.0701
27,329,19,19,310,0.0578
28,329,17,17,312,0.0517
29,328,26,26,302,0.0793
30,329,20,20,309,0.0608
31,329,26,26,303,0.0790
32,329,20,20,309,0.0608
33,328,24,24,304,0.0732
34,328,22,22,306,0.0671
