episode_index,length_frames,frame0_abs_delta_shoulder_lift,frame0_abs_delta_elbow_flex,frame14_abs_delta_shoulder_lift,frame14_abs_delta_elbow_flex,max_abs_delta_frames0_14_shoulder_lift,max_abs_delta_frames0_14_elbow_flex,state_first_movement_frame_any_joint,state_first_movement_frame_shoulder_lift,state_first_movement_frame_elbow_flex,action_first_movement_frame_any_joint,action_first_movement_frame_shoulder_lift,action_first_movement_frame_elbow_flex
0,329,0.2637,1.8022,0.2637,1.8022,0.2637,1.8022,23,23,25,20,20,21
1,329,0.2637,1.8022,0.3516,1.8022,0.3516,1.8022,34,34,36,31,31,31
2,328,0.0879,1.8022,0.0879,1.8022,0.0879,1.8022,29,30,29,24,27,24
3,329,0.1758,1.8022,0.2637,1.9780,0.2637,1.9780,25,25,26,21,22,21
4,329,0.5275,1.9780,0.5275,1.9780,0.5275,1.9780,28,28,31,26,26,27
5,328,0.4396,1.7143,0.9670,1.9780,0.9670,1.9780,23,23,25,21,22,21
6,329,0.1758,2.0659,0.1758,2.0659,0.1758,2.0659,24,24,25,21,21,21
7,329,0.3516,1.8022,0.3516,1.8022,0.3516,1.8022,31,31,32,28,28,28
8,329,0.4396,1.9780,0.4396,1.9780,0.4396,1.9780,25,25,28,22,22,24
9,329,0.5275,2.0659,0.4396,2.0659,0.5275,2.0659,25,25,26,21,21,22
10,329,0.1758,1.8022,0.2637,1.9780,0.2637,1.9780,32,32,33,29,29,29
11,329,0.0879,1.9780,0.2637,1.9780,0.2637,1.9780,29,29,31,23,25,26
12,328,0.2637,1.6264,0.6154,1.7143,0.6154,1.7143,30,30,32,28,28,28
13,329,0.4396,1.8901,0.4396,1.8901,0.4396,1.8901,34,34,35,31,32,31
14,329,0.3516,1.8022,0.5275,1.8901,0.5275,1.8901,25,30,25,20,27,20
15,329,0.4396,2.2418,0.4396,2.2418,0.4396,2.2418,29,29,30,25,25,25
16,329,0.5275,2.0659,0.3516,2.2418,0.5275,2.2418,29,29,32,25,25,26
17,328,0.4396,2.0659,0.4396,2.0659,0.4396,2.0659,24,24,25,20,20,21
18,328,0.0879,0.3077,0.7033,0.9231,0.7033,0.9231,24,24,27,20,20,21
19,328,0.3516,1.8022,0.5275,1.9780,0.5275,1.9780,26,26,28,23,23,23
20,329,0.5275,2.2418,0.2637,2.6813,0.5275,2.6813,24,25,24,20,21,20
21,329,0.5275,2.2418,0.2637,2.5055,0.5275,2.5055,20,20,20,16,16,16
22,329,0.5275,2.2418,0.5275,2.2418,0.5275,2.2418,24,24,24,20,20,20
23,329,0.1758,1.8901,0.2637,2.0659,0.2637,2.0659,26,26,27,23,23,23
24,329,0.3516,2.3297,4.2198,4.2637,4.2198,4.2637,15,15,17,12,12,13
25,329,0.3516,1.0110,0.5275,1.3626,0.5275,1.3626,20,20,21,16,17,16
26,328,0.5275,2.2418,0.0879,2.4176,0.5275,2.4176,23,24,23,18,20,18
27,329,0.1758,1.9780,0.7033,2.5055,0.7033,2.5055,19,19,21,15,15,17
28,329,0.2637,1.8022,0.8791,3.6484,0.8791,3.6484,17,17,18,13,14,13
29,328,0.5275,1.7143,0.6154,2.0659,0.8791,2.0659,26,28,28,22,25,23
30,329,0.1758,2.0659,0.7912,2.7692,0.7912,2.7692,20,20,22,17,17,17
31,329,0.2637,1.8022,0.3516,1.9780,0.3516,1.9780,26,34,27,23,30,23
32,329,0.2637,1.8901,0.5275,2.1538,0.5275,2.1538,20,20,22,17,17,18
33,328,0.3516,1.8022,0.6154,2.3297,0.7912,2.3297,24,24,26,20,20,21
34,328,0.3516,1.8901,0.3516,1.8901,0.3516,1.8901,22,22,24,19,19,20
