frame_index,time_s,joint,mean_delta,median_delta,mean_abs_delta,median_abs_delta,p95_abs_delta,max_abs_delta
0,0.0000,shoulder_pan,-0.2838,-0.5275,0.6857,0.7033,1.0813,1.1429
0,0.0000,shoulder_lift,0.1055,0.2637,0.3366,0.3516,0.5275,0.5275
0,0.0000,elbow_flex,-1.8725,-1.8901,1.8725,1.8901,2.2418,2.3297
0,0.0000,wrist_flex,-0.4358,-0.5714,0.6192,0.5714,1.1253,1.1868
0,0.0000,wrist_roll,0.1884,0.2637,0.2436,0.2637,0.4659,0.5275
0,0.0000,gripper,-0.0354,-0.0024,0.2804,0.3035,0.4576,0.5129
1,0.0333,shoulder_pan,-0.2838,-0.5275,0.6857,0.7033,1.0813,1.1429
1,0.0333,shoulder_lift,0.1055,0.2637,0.3366,0.3516,0.5275,0.5275
1,0.0333,elbow_flex,-1.8750,-1.8901,1.8750,1.8901,2.2418,2.3297
1,0.0333,wrist_flex,-0.4383,-0.5714,0.6166,0.5714,1.1253,1.1868
1,0.0333,wrist_roll,0.1909,0.2637,0.2411,0.2637,0.4659,0.5275
1,0.0333,gripper,-0.0354,-0.0024,0.2804,0.3035,0.4576,0.5129
2,0.0667,shoulder_pan,-0.2838,-0.5275,0.6857,0.7033,1.0813,1.1429
2,0.0667,shoulder_lift,0.1055,0.2637,0.3366,0.3516,0.5275,0.5275
2,0.0667,elbow_flex,-1.8750,-1.8901,1.8750,1.8901,2.2418,2.3297
2,0.0667,wrist_flex,-0.4433,-0.5714,0.6166,0.5714,1.1253,1.1868
2,0.0667,wrist_roll,0.1909,0.2637,0.2411,0.2637,0.4659,0.5275
2,0.0667,gripper,-0.0354,-0.0024,0.2804,0.3035,0.4576,0.5129
3,0.1000,shoulder_pan,-0.2838,-0.5275,0.6857,0.7033,1.0813,1.1429
3,0.1000,shoulder_lift,0.1105,0.2637,0.3366,0.3516,0.5275,0.5275
3,0.1000,elbow_flex,-1.8750,-1.8901,1.8750,1.8901,2.2418,2.3297
3,0.1000,wrist_flex,-0.4433,-0.5714,0.6166,0.5714,1.1253,1.1868
3,0.1000,wrist_roll,0.1884,0.2637,0.2436,0.2637,0.4659,0.5275
