dataset,episode,joint,n_static_frames,chunk0_abs_delta_mean_deg,chunk_mean_abs_delta_mean_deg,chunk_max_abs_delta_mean_deg,frac_static_frames_chunk_mean_exceeds_would_clamp
v2_clean,0,shoulder_lift,23,0.6230,17.6498,41.4716,1.0000
v2_clean,0,elbow_flex,23,2.0354,16.4324,44.1644,1.0000
v2_clean,1,shoulder_lift,34,0.5404,17.5480,42.9373,1.0000
v2_clean,1,elbow_flex,34,2.1461,15.1413,38.8442,0.9412
v2_clean,2,shoulder_lift,29,0.3274,21.1432,49.5733,1.0000
v2_clean,2,elbow_flex,29,2.3115,21.4689,51.7514,1.0000
v2_clean,3,shoulder_lift,25,0.5415,23.9160,54.1327,1.0000
v2_clean,3,elbow_flex,25,2.2136,24.0210,57.5912,1.0000
v2_clean,4,shoulder_lift,28,0.6342,27.5796,65.1020,1.0000
v2_clean,4,elbow_flex,28,2.1821,23.6265,58.4929,1.0000
v2_clean,5,shoulder_lift,23,0.5466,20.5302,48.4472,1.0000
v2_clean,5,elbow_flex,23,2.0277,21.9433,55.8414,1.0000
v2_clean,6,shoulder_lift,24,0.4908,24.4194,54.6484,1.0000
v2_clean,6,elbow_flex,24,2.3663,26.1687,61.5238,1.0000
v2_clean,7,shoulder_lift,31,0.6693,19.7359,48.9160,1.0000
v2_clean,7,elbow_flex,31,2.1056,19.9718,51.1521,1.0000
v2_clean,8,shoulder_lift,25,0.6822,20.0140,49.2237,1.0000
v2_clean,8,elbow_flex,25,2.1574,17.8421,49.6404,1.0000
v2_clean,9,shoulder_lift,25,0.8264,24.5631,61.2958,1.0000
v2_clean,9,elbow_flex,25,2.3684,22.4234,59.4127,1.0000
v2_clean,10,shoulder_lift,32,0.5220,20.5759,52.4066,1.0000
v2_clean,10,elbow_flex,32,2.2445,17.8066,46.1401,1.0000
v2_clean,11,shoulder_lift,29,0.5881,21.2623,51.9166,1.0000
v2_clean,11,elbow_flex,29,2.1963,21.6765,56.5017,1.0000
v2_clean,12,shoulder_lift,30,0.4806,21.1125,51.1267,1.0000
v2_clean,12,elbow_flex,30,1.9985,22.6613,58.5641,1.0000
v2_clean,13,shoulder_lift,34,0.5507,15.2466,40.4008,0.9118
v2_clean,13,elbow_flex,34,2.1564,17.2207,46.6580,0.9706
v2_clean,14,shoulder_lift,25,0.4185,16.4239,48.5029,1.0000
v2_clean,14,elbow_flex,25,2.3156,20.9514,56.5292,1.0000
v2_clean,15,shoulder_lift,29,0.5760,15.5667,39.5028,1.0000
v2_clean,15,elbow_flex,29,2.5479,16.8945,43.3695,1.0000
v2_clean,16,shoulder_lift,29,0.6639,18.6941,43.3558,1.0000
v2_clean,16,elbow_flex,29,2.3630,18.3208,45.1004,1.0000
v2_clean,17,shoulder_lift,24,0.7656,19.3916,45.3773,1.0000
v2_clean,17,elbow_flex,24,2.3150,16.9613,43.2527,1.0000
v2_clean,18,shoulder_lift,24,0.5348,21.3659,49.3736,1.0000
v2_clean,18,elbow_flex,24,0.8095,20.4927,51.2234,1.0000
v2_clean,19,shoulder_lift,26,0.6661,21.1775,52.7270,1.0000
v2_clean,19,elbow_flex,26,2.1437,20.0933,51.5909,1.0000
v2_clean,20,shoulder_lift,24,0.5165,18.4319,43.6703,1.0000
v2_clean,20,elbow_flex,24,2.6923,22.2640,53.1282,1.0000
v2_clean,21,shoulder_lift,20,0.6857,21.7473,47.6044,1.0000
v2_clean,21,elbow_flex,20,2.7780,25.3182,56.8615,1.0000
v2_clean,22,shoulder_lift,24,0.8205,24.7679,55.0916,1.0000
v2_clean,22,elbow_flex,24,2.7216,25.4384,59.8022,1.0000
v2_clean,23,shoulder_lift,26,0.5917,20.3550,48.9941,1.0000
v2_clean,23,elbow_flex,26,2.3094,20.9860,50.5156,1.0000
v2_clean,24,shoulder_lift,15,1.0784,27.9332,59.0007,1.0000
v2_clean,24,elbow_flex,15,2.6872,26.1311,61.7524,1.0000
v2_clean,25,shoulder_lift,20,0.7604,20.2820,46.1890,1.0000
v2_clean,25,elbow_flex,20,1.6527,23.2361,56.4615,1.0000
