dataset_a,episode_a,frame_a,dataset_b,episode_b,frame_b,state_l2_dist_deg,shoulder_lift_action_delta_a,shoulder_lift_action_delta_b,shoulder_lift_diff_deg,elbow_flex_action_delta_a,elbow_flex_action_delta_b,elbow_flex_diff_deg,max_key_joint_diff_deg
v2_clean,18,0,v2_clean,22,23,2.1905,0.0879,4.6593,4.5714,-0.3077,-6.0220,5.7143,5.7143
v2_clean,18,1,v2_clean,22,23,2.1905,0.0879,4.6593,4.5714,-0.3077,-6.0220,5.7143,5.7143
v2_clean,18,2,v2_clean,22,23,2.1905,0.0879,4.6593,4.5714,-0.3077,-6.0220,5.7143,5.7143
v2_clean,18,3,v2_clean,22,23,2.1905,0.0879,4.6593,4.5714,-0.3077,-6.0220,5.7143,5.7143
v2_clean,18,4,v2_clean,22,23,2.1905,0.0879,4.6593,4.5714,-0.3077,-6.0220,5.7143,5.7143
v2_clean,18,5,v2_clean,22,23,2.1905,0.0879,4.6593,4.5714,-0.3077,-6.0220,5.7143,5.7143
v2_clean,18,6,v2_clean,22,23,2.1905,0.0879,4.6593,4.5714,-0.3077,-6.0220,5.7143,5.7143
v2_clean,18,7,v2_clean,22,23,2.1905,0.0879,4.6593,4.5714,-0.3077,-6.0220,5.7143,5.7143
v2_clean,18,8,v2_clean,22,23,2.1905,0.0879,4.6593,4.5714,-0.3956,-6.0220,5.6264,5.6264
v2_clean,18,9,v2_clean,22,23,2.1905,0.1758,4.6593,4.4835,-0.3956,-6.0220,5.6264,5.6264
v2_clean,18,10,v2_clean,22,23,2.1905,0.3516,4.6593,4.3077,-0.3956,-6.0220,5.6264,5.6264
v2_clean,18,11,v2_clean,22,23,2.1905,0.5275,4.6593,4.1319,-0.4835,-6.0220,5.5385,5.5385
v2_clean,18,12,v2_clean,22,23,2.1905,0.6154,4.6593,4.0440,-0.7473,-6.0220,5.2747,5.2747
v2_clean,9,0,v2_clean,22,23,2.4496,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,9,1,v2_clean,22,23,2.4496,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,9,2,v2_clean,22,23,2.4496,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,9,3,v2_clean,22,23,2.4496,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,9,4,v2_clean,22,23,2.4496,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,9,5,v2_clean,22,23,2.4496,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,9,6,v2_clean,22,23,2.4496,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,9,7,v2_clean,22,23,2.4496,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,9,8,v2_clean,22,23,2.4496,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,9,9,v2_clean,22,23,2.4496,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,9,10,v2_clean,22,23,2.4496,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,9,11,v2_clean,22,23,2.4496,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,9,12,v2_clean,22,23,2.4496,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,9,13,v2_clean,22,23,2.4496,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,16,0,v2_clean,22,23,1.4761,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,16,1,v2_clean,22,23,1.4761,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,16,2,v2_clean,22,23,1.4761,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,16,3,v2_clean,22,23,1.4761,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,16,4,v2_clean,22,23,1.4761,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,16,5,v2_clean,22,23,1.4761,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,16,6,v2_clean,22,23,1.4761,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,16,7,v2_clean,22,23,1.4761,-0.5275,4.6593,5.1868,-2.0659,-6.0220,3.9560,5.1868
v2_clean,16,8,v2_clean,22,23,1.4761,-0.5275,4.6593,5.1868,-2.1538,-6.0220,3.8681,5.1868
v2_clean,20,0,v2_clean,22,23,2.5106,-0.5275,4.6593,5.1868,-2.2418,-6.0220,3.7802,5.1868
v2_clean,20,1,v2_clean,22,23,2.5106,-0.5275,4.6593,5.1868,-2.2418,-6.0220,3.7802,5.1868
v2_clean,20,2,v2_clean,22,23,2.5106,-0.5275,4.6593,5.1868,-2.2418,-6.0220,3.7802,5.1868
v2_clean,20,3,v2_clean,22,23,2.5106,-0.5275,4.6593,5.1868,-2.2418,-6.0220,3.7802,5.1868
v2_clean,20,4,v2_clean,22,23,2.5106,-0.5275,4.6593,5.1868,-2.2418,-6.0220,3.7802,5.1868
v2_clean,20,5,v2_clean,22,23,2.5106,-0.5275,4.6593,5.1868,-2.2418,-6.0220,3.7802,5.1868
v2_clean,20,6,v2_clean,22,23,2.5106,-0.5275,4.6593,5.1868,-2.2418,-6.0220,3.7802,5.1868
v2_clean,20,7,v2_clean,22,23,2.5106,-0.5275,4.6593,5.1868,-2.2418,-6.0220,3.7802,5.1868
v2_clean,21,0,v2_clean,22,23,1.8885,-0.5275,4.6593,5.1868,-2.2418,-6.0220,3.7802,5.1868
v2_clean,21,1,v2_clean,22,23,1.8885,-0.5275,4.6593,5.1868,-2.2418,-6.0220,3.7802,5.1868
v2_clean,21,2,v2_clean,22,23,1.8885,-0.5275,4.6593,5.1868,-2.2418,-6.0220,3.7802,5.1868
v2_clean,9,14,v2_clean,22,23,2.4496,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,9,15,v2_clean,22,23,2.4496,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,15,0,v2_clean,22,23,2.2463,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,15,1,v2_clean,22,23,2.2463,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,15,2,v2_clean,22,23,2.2463,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,15,3,v2_clean,22,23,2.2463,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,15,4,v2_clean,22,23,2.2463,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,15,5,v2_clean,22,23,2.2463,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,15,6,v2_clean,22,23,2.2463,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,15,7,v2_clean,22,23,2.2463,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,15,8,v2_clean,22,23,2.2463,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,15,9,v2_clean,22,23,2.2463,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,15,10,v2_clean,22,23,2.2463,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,15,11,v2_clean,22,23,2.2463,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,15,12,v2_clean,22,23,2.2463,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,15,13,v2_clean,22,23,2.2463,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,15,14,v2_clean,22,23,2.2463,-0.4396,4.6593,5.0989,-2.2418,-6.0220,3.7802,5.0989
v2_clean,15,15,v2_clean,22,23,2.2463,-0.4396,4.6593,5.0989,-2.3297,-6.0220,3.6923,5.0989
v2_clean,16,9,v2_clean,22,23,1.4761,-0.4396,4.6593,5.0989,-2.1538,-6.0220,3.8681,5.0989
v2_clean,16,10,v2_clean,22,23,1.4761,-0.4396,4.6593,5.0989,-2.1538,-6.0220,3.8681,5.0989
v2_clean,16,11,v2_clean,22,23,1.4761,-0.4396,4.6593,5.0989,-2.1538,-6.0220,3.8681,5.0989
v2_clean,17,0,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,17,1,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,17,2,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,17,3,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,17,4,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,17,5,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,17,6,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
v2_clean,17,7,v2_clean,22,23,1.8542,-0.4396,4.6593,5.0989,-2.0659,-6.0220,3.9560,5.0989
