dataset,episode,length,state_first_movement_frame,state_first_movement_s,action_first_movement_frame,action_first_movement_s
v2_clean,0,329,23,0.7667,20,0.6667
v2_clean,1,329,34,1.1333,31,1.0333
v2_clean,2,328,29,0.9667,24,0.8000
v2_clean,3,329,25,0.8333,21,0.7000
v2_clean,4,329,28,0.9333,26,0.8667
v2_clean,5,328,23,0.7667,21,0.7000
v2_clean,6,329,24,0.8000,21,0.7000
v2_clean,7,329,31,1.0333,28,0.9333
v2_clean,8,329,25,0.8333,22,0.7333
v2_clean,9,329,25,0.8333,21,0.7000
v2_clean,10,329,32,1.0667,29,0.9667
v2_clean,11,329,29,0.9667,23,0.7667
v2_clean,12,328,30,1.0000,28,0.9333
v2_clean,13,329,34,1.1333,31,1.0333
v2_clean,14,329,25,0.8333,20,0.6667
v2_clean,15,329,29,0.9667,25,0.8333
v2_clean,16,329,29,0.9667,25,0.8333
v2_clean,17,328,24,0.8000,20,0.6667
v2_clean,18,328,24,0.8000,20,0.6667
v2_clean,19,328,26,0.8667,23,0.7667
v2_clean,20,329,24,0.8000,20,0.6667
v2_clean,21,329,20,0.6667,16,0.5333
v2_clean,22,329,24,0.8000,20,0.6667
v2_clean,23,329,26,0.8667,23,0.7667
v2_clean,24,329,15,0.5000,12,0.4000
v2_clean,25,329,20,0.6667,16,0.5333
v2_clean,26,328,23,0.7667,18,0.6000
v2_clean,27,329,19,0.6333,15,0.5000
v2_clean,28,329,17,0.5667,13,0.4333
v2_clean,29,328,26,0.8667,22,0.7333
v2_clean,30,329,20,0.6667,17,0.5667
v2_clean,31,329,26,0.8667,23,0.7667
v2_clean,32,329,20,0.6667,17,0.5667
v2_clean,33,328,24,0.8000,20,0.6667
v2_clean,34,328,22,0.7333,19,0.6333
v3_start_coverage,0,329,35,1.1667,26,0.8667
v3_start_coverage,1,328,40,1.3333,37,1.2333
v3_start_coverage,2,329,55,1.8333,52,1.7333
v3_start_coverage,3,328,28,0.9333,23,0.7667
v3_start_coverage,4,329,82,2.7333,78,2.6000
v3_start_coverage,5,328,25,0.8333,21,0.7000
v3_start_coverage,6,327,23,0.7667,19,0.6333
v3_start_coverage,7,329,64,2.1333,61,2.0333
v3_start_coverage,8,329,27,0.9000,24,0.8000
v3_start_coverage,9,325,82,2.7333,80,2.6667
v3_start_coverage,10,327,39,1.3000,35,1.1667
v3_start_coverage,11,328,27,0.9000,23,0.7667
v3_start_coverage,12,327,58,1.9333,55,1.8333
v3_start_coverage,13,328,28,0.9333,26,0.8667
v3_start_coverage,14,326,73,2.4333,69,2.3000
v3_start_coverage,15,326,69,2.3000,66,2.2000
v3_start_coverage,16,326,25,0.8333,22,0.7333
v3_start_coverage,17,326,20,0.6667,17,0.5667
v3_start_coverage,18,327,68,2.2667,63,2.1000
v3_start_coverage,19,327,38,1.2667,26,0.8667
v3_start_coverage,20,328,69,2.3000,66,2.2000
v3_start_coverage,21,326,21,0.7000,19,0.6333
v3_start_coverage,22,328,32,1.0667,29,0.9667
v3_start_coverage,23,327,52,1.7333,49,1.6333
v3_start_coverage,24,327,18,0.6000,16,0.5333
v3_start_coverage,25,327,77,2.5667,74,2.4667
v3_start_coverage,26,328,50,1.6667,45,1.5000
v3_start_coverage,27,328,18,0.6000,15,0.5000
v3_start_coverage,28,328,50,1.6667,48,1.6000
v3_start_coverage,29,326,35,1.1667,32,1.0667
