dataset,episode,joint,n_frames,mean_abs_delta_deg,median_abs_delta_deg,p95_abs_delta_deg,max_abs_delta_deg,would_clamp_threshold_deg,frac_would_clamp
v2_clean,0,shoulder_pan,23,0.1758,0.1758,0.1758,0.1758,4.58,0.0000
v2_clean,0,shoulder_lift,23,0.6230,0.2637,2.5407,3.5165,5.16,0.0000
v2_clean,0,elbow_flex,23,2.0354,1.8022,3.2264,4.0000,5.73,0.0000
v2_clean,0,wrist_flex,23,1.1868,1.1868,1.1868,1.1868,4.01,0.0000
v2_clean,0,wrist_roll,23,0.2676,0.2637,0.2637,0.3516,1.15,0.0000
v2_clean,0,gripper,23,0.1635,0.1635,0.1635,0.1635,9.17,0.0000
v2_clean,1,shoulder_pan,34,0.5792,0.7033,0.7033,0.7033,4.58,0.0000
v2_clean,1,shoulder_lift,34,0.5404,0.3516,1.2176,3.0769,5.16,0.0000
v2_clean,1,elbow_flex,34,2.1461,1.9780,3.1604,4.3516,5.73,0.0000
v2_clean,1,wrist_flex,34,0.2301,0.1758,0.4835,0.5714,4.01,0.0000
v2_clean,1,wrist_roll,34,0.3025,0.3516,0.4396,0.4396,1.15,0.0000
v2_clean,1,gripper,34,0.3978,0.3686,0.4395,0.4395,9.17,0.0000
v2_clean,2,shoulder_pan,29,0.4426,0.4396,0.4396,0.5275,4.58,0.0000
v2_clean,2,shoulder_lift,29,0.3274,0.0879,0.8615,1.7582,5.16,0.0000
v2_clean,2,elbow_flex,29,2.3115,1.8022,4.2110,4.6154,5.73,0.0000
v2_clean,2,wrist_flex,29,0.2895,0.3077,0.4484,0.4835,4.01,0.0000
v2_clean,2,wrist_roll,29,0.5335,0.5275,0.6154,0.6154,1.15,0.0000
v2_clean,2,gripper,29,0.4831,0.5129,0.5141,0.5839,9.17,0.0000
v2_clean,3,shoulder_pan,25,0.5345,0.5275,0.5978,0.6154,4.58,0.0000
v2_clean,3,shoulder_lift,25,0.5415,0.2637,2.2330,3.6044,5.16,0.0000
v2_clean,3,elbow_flex,25,2.2136,1.8901,3.9473,4.6154,5.73,0.0000
v2_clean,3,wrist_flex,25,0.9090,1.0110,1.0110,1.0110,4.01,0.0000
v2_clean,3,wrist_roll,25,0.5310,0.5275,0.6154,0.6154,1.15,0.0000
v2_clean,3,gripper,25,0.2743,0.3074,0.3074,0.3074,9.17,0.0000
v2_clean,4,shoulder_pan,28,0.5275,0.5275,0.5275,0.5275,4.58,0.0000
v2_clean,4,shoulder_lift,28,0.6342,0.5275,1.3055,2.8132,5.16,0.0000
v2_clean,4,elbow_flex,28,2.1821,1.9780,2.7956,3.4725,5.73,0.0000
v2_clean,4,wrist_flex,28,0.4270,0.4835,0.4835,0.4835,4.01,0.0000
v2_clean,4,wrist_roll,28,0.2292,0.2637,0.2637,0.2637,1.15,0.0000
v2_clean,4,gripper,28,0.4576,0.4576,0.4576,0.4576,9.17,0.0000
v2_clean,5,shoulder_pan,23,0.5045,0.6154,0.6154,0.6154,4.58,0.0000
v2_clean,5,shoulder_lift,23,0.5466,0.4396,0.9582,1.0549,5.16,0.0000
v2_clean,5,elbow_flex,23,2.0277,1.7143,3.1560,3.7363,5.73,0.0000
v2_clean,5,wrist_flex,23,1.0798,1.0989,1.0989,1.0989,4.01,0.0000
v2_clean,5,wrist_roll,23,0.1032,0.0879,0.2637,0.2637,1.15,0.0000
v2_clean,5,gripper,23,0.3827,0.3827,0.3827,0.3827,9.17,0.0000
v2_clean,6,shoulder_pan,24,0.5678,0.6154,0.6154,0.6154,4.58,0.0000
v2_clean,6,shoulder_lift,24,0.4908,0.1758,2.1407,3.4286,5.16,0.0000
