dataset,category,key,value
v2_clean,per_joint_start_std_deg,shoulder_pan,0.8464
v2_clean,per_joint_start_range_deg,shoulder_pan,3.6044
v2_clean,per_joint_start_std_deg,shoulder_lift,1.1852
v2_clean,per_joint_start_range_deg,shoulder_lift,5.5385
v2_clean,per_joint_start_std_deg,elbow_flex,0.3188
v2_clean,per_joint_start_range_deg,elbow_flex,1.7582
v2_clean,per_joint_start_std_deg,wrist_flex,1.7288
v2_clean,per_joint_start_range_deg,wrist_flex,9.1429
v2_clean,per_joint_start_std_deg,wrist_roll,2.1758
v2_clean,per_joint_start_range_deg,wrist_roll,5.3626
v2_clean,per_joint_start_std_deg,gripper,0.6798
v2_clean,per_joint_start_range_deg,gripper,2.8986
v2_clean,start_frame0_pairwise_l2_deg,min,0.5064
v2_clean,start_frame0_pairwise_l2_deg,median,3.8513
v2_clean,start_frame0_pairwise_l2_deg,mean,4.1337
v2_clean,start_frame0_pairwise_l2_deg,p95,7.9328
v2_clean,start_frame0_pairwise_l2_deg,max,11.7545
v2_clean,start_frame0_pairwise_l2_deg,n_pairs,595
v3_start_coverage,per_joint_start_std_deg,shoulder_pan,9.5574
v3_start_coverage,per_joint_start_range_deg,shoulder_pan,31.8242
v3_start_coverage,per_joint_start_std_deg,shoulder_lift,3.4591
v3_start_coverage,per_joint_start_range_deg,shoulder_lift,10.9890
v3_start_coverage,per_joint_start_std_deg,elbow_flex,0.2391
v3_start_coverage,per_joint_start_range_deg,elbow_flex,0.7912
v3_start_coverage,per_joint_start_std_deg,wrist_flex,7.5927
v3_start_coverage,per_joint_start_range_deg,wrist_flex,27.2527
v3_start_coverage,per_joint_start_std_deg,wrist_roll,0.0414
v3_start_coverage,per_joint_start_range_deg,wrist_roll,0.0879
v3_start_coverage,per_joint_start_std_deg,gripper,0.3878
v3_start_coverage,per_joint_start_range_deg,gripper,1.6563
v3_start_coverage,start_frame0_pairwise_l2_deg,min,0.8369
v3_start_coverage,start_frame0_pairwise_l2_deg,median,17.8831
v3_start_coverage,start_frame0_pairwise_l2_deg,mean,16.4392
v3_start_coverage,start_frame0_pairwise_l2_deg,p95,27.6173
v3_start_coverage,start_frame0_pairwise_l2_deg,max,31.8518
v3_start_coverage,start_frame0_pairwise_l2_deg,n_pairs,435
combined_v2_plus_v3,per_joint_start_std_deg,shoulder_pan,6.5233
combined_v2_plus_v3,per_joint_start_range_deg,shoulder_pan,31.8242
combined_v2_plus_v3,per_joint_start_std_deg,shoulder_lift,3.3414
combined_v2_plus_v3,per_joint_start_range_deg,shoulder_lift,10.9890
combined_v2_plus_v3,per_joint_start_std_deg,elbow_flex,0.3201
combined_v2_plus_v3,per_joint_start_range_deg,elbow_flex,2.1099
combined_v2_plus_v3,per_joint_start_std_deg,wrist_flex,7.4087
combined_v2_plus_v3,per_joint_start_range_deg,wrist_flex,28.3077
combined_v2_plus_v3,per_joint_start_std_deg,wrist_roll,2.2010
combined_v2_plus_v3,per_joint_start_range_deg,wrist_roll,5.3626
combined_v2_plus_v3,per_joint_start_std_deg,gripper,0.6229
combined_v2_plus_v3,per_joint_start_range_deg,gripper,2.9676
combined_v2_plus_v3,start_frame0_pairwise_l2_deg,min,0.5064
combined_v2_plus_v3,start_frame0_pairwise_l2_deg,median,12.7113
combined_v2_plus_v3,start_frame0_pairwise_l2_deg,mean,12.5587
combined_v2_plus_v3,start_frame0_pairwise_l2_deg,p95,25.4120
combined_v2_plus_v3,start_frame0_pairwise_l2_deg,max,31.8518
combined_v2_plus_v3,start_frame0_pairwise_l2_deg,n_pairs,2080
