dataset,episode,length,first_movement_frame,static_length,moving_length,static_fraction
v2_clean,0,329,23,23,306,0.0699
v2_clean,1,329,34,34,295,0.1033
v2_clean,2,328,29,29,299,0.0884
v2_clean,3,329,25,25,304,0.0760
v2_clean,4,329,28,28,301,0.0851
v2_clean,5,328,23,23,305,0.0701
v2_clean,6,329,24,24,305,0.0729
v2_clean,7,329,31,31,298,0.0942
v2_clean,8,329,25,25,304,0.0760
v2_clean,9,329,25,25,304,0.0760
v2_clean,10,329,32,32,297,0.0973
v2_clean,11,329,29,29,300,0.0881
v2_clean,12,328,30,30,298,0.0915
v2_clean,13,329,34,34,295,0.1033
v2_clean,14,329,25,25,304,0.0760
v2_clean,15,329,29,29,300,0.0881
v2_clean,16,329,29,29,300,0.0881
v2_clean,17,328,24,24,304,0.0732
v2_clean,18,328,24,24,304,0.0732
v2_clean,19,328,26,26,302,0.0793
v2_clean,20,329,24,24,305,0.0729
v2_clean,21,329,20,20,309,0.0608
v2_clean,22,329,24,24,305,0.0729
v2_clean,23,329,26,26,303,0.0790
v2_clean,24,329,15,15,314,0.0456
v2_clean,25,329,20,20,309,0.0608
v2_clean,26,328,23,23,305,0.0701
v2_clean,27,329,19,19,310,0.0578
v2_clean,28,329,17,17,312,0.0517
v2_clean,29,328,26,26,302,0.0793
v2_clean,30,329,20,20,309,0.0608
v2_clean,31,329,26,26,303,0.0790
v2_clean,32,329,20,20,309,0.0608
v2_clean,33,328,24,24,304,0.0732
v2_clean,34,328,22,22,306,0.0671
v3_start_coverage,0,329,35,35,294,0.1064
v3_start_coverage,1,328,40,40,288,0.1220
v3_start_coverage,2,329,55,55,274,0.1672
v3_start_coverage,3,328,28,28,300,0.0854
v3_start_coverage,4,329,82,82,247,0.2492
v3_start_coverage,5,328,25,25,303,0.0762
v3_start_coverage,6,327,23,23,304,0.0703
v3_start_coverage,7,329,64,64,265,0.1945
v3_start_coverage,8,329,27,27,302,0.0821
v3_start_coverage,9,325,82,82,243,0.2523
v3_start_coverage,10,327,39,39,288,0.1193
v3_start_coverage,11,328,27,27,301,0.0823
v3_start_coverage,12,327,58,58,269,0.1774
v3_start_coverage,13,328,28,28,300,0.0854
v3_start_coverage,14,326,73,73,253,0.2239
v3_start_coverage,15,326,69,69,257,0.2117
v3_start_coverage,16,326,25,25,301,0.0767
v3_start_coverage,17,326,20,20,306,0.0613
v3_start_coverage,18,327,68,68,259,0.2080
v3_start_coverage,19,327,38,38,289,0.1162
v3_start_coverage,20,328,69,69,259,0.2104
v3_start_coverage,21,326,21,21,305,0.0644
v3_start_coverage,22,328,32,32,296,0.0976
v3_start_coverage,23,327,52,52,275,0.1590
v3_start_coverage,24,327,18,18,309,0.0550
v3_start_coverage,25,327,77,77,250,0.2355
v3_start_coverage,26,328,50,50,278,0.1524
v3_start_coverage,27,328,18,18,310,0.0549
v3_start_coverage,28,328,50,50,278,0.1524
v3_start_coverage,29,326,35,35,291,0.1074
