candidate,track,scene_id,n_seeds,kinematic_success_rate,physics_success_rate,safety_reject_rate,clamp_free_rate,mean_wall_time_s
A,primary,mujoco_rollout_test01,3,0.0,0.0,0.0,0.0,2.77
A,primary,mujoco_rollout_test02,3,0.0,0.0,0.333,0.0,2.48
A,primary,mujoco_rollout_test03,3,0.0,0.0,0.0,0.0,2.76
A,primary,mujoco_rollout_test04,3,0.0,0.0,0.667,0.0,2.14
A,primary,mujoco_rollout_test05,3,0.0,0.0,0.0,0.0,2.59
A,primary,mujoco_rollout_test06,3,0.0,0.0,0.0,0.0,2.6
A,primary,mujoco_rollout_test07,3,0.0,0.0,0.0,0.0,2.55
A,primary,mujoco_rollout_test08,3,0.0,0.0,0.0,0.0,2.6
A,primary,mujoco_rollout_test09,3,0.0,0.0,0.0,0.0,2.45
A,primary,mujoco_rollout_test10,3,0.0,0.0,0.333,0.0,2.32
A,secondary,mujoco_rollout_test01,3,0.0,0.0,0.0,0.0,105.16
A,secondary,mujoco_rollout_test02,3,0.0,0.0,0.0,0.0,99.74
A,secondary,mujoco_rollout_test03,3,0.0,0.0,0.0,0.0,98.75
A,secondary,mujoco_rollout_test04,3,0.0,0.0,0.0,0.0,98.9
A,secondary,mujoco_rollout_test05,3,0.0,0.0,0.0,0.0,97.01
A,secondary,mujoco_rollout_test06,3,0.0,0.0,0.0,0.0,98.85
A,secondary,mujoco_rollout_test07,3,0.0,0.0,0.0,0.0,98.01
A,secondary,mujoco_rollout_test08,3,0.0,0.0,0.0,0.0,99.84
A,secondary,mujoco_rollout_test09,3,0.0,0.0,0.0,0.0,99.53
A,secondary,mujoco_rollout_test10,3,0.0,0.0,0.0,0.0,98.28
B,primary,mujoco_rollout_test01,3,0.0,0.0,0.0,0.0,2.59
B,primary,mujoco_rollout_test02,3,0.0,0.0,0.0,0.0,2.65
B,primary,mujoco_rollout_test03,3,0.0,0.0,0.0,0.0,2.64
B,primary,mujoco_rollout_test04,3,0.0,0.0,0.0,0.0,2.6
B,primary,mujoco_rollout_test05,3,0.0,0.0,0.0,0.0,2.62
B,primary,mujoco_rollout_test06,3,0.0,0.0,0.0,0.0,2.63
B,primary,mujoco_rollout_test07,3,0.0,0.0,0.0,0.0,2.64
B,primary,mujoco_rollout_test08,3,0.0,0.0,0.0,0.0,2.57
B,primary,mujoco_rollout_test09,3,0.0,0.0,0.0,0.0,2.54
B,primary,mujoco_rollout_test10,3,0.0,0.0,0.333,0.0,1.96
B,secondary,mujoco_rollout_test01,3,0.0,0.0,0.0,0.0,97.39
B,secondary,mujoco_rollout_test02,3,0.0,0.0,0.0,0.0,97.9
B,secondary,mujoco_rollout_test03,3,0.0,0.0,0.0,0.0,97.12
B,secondary,mujoco_rollout_test04,3,0.0,0.0,0.0,0.0,98.68
B,secondary,mujoco_rollout_test05,3,0.0,0.0,0.0,0.0,97.17
B,secondary,mujoco_rollout_test06,3,0.0,0.0,0.0,0.0,97.9
B,secondary,mujoco_rollout_test07,3,0.0,0.0,0.0,0.0,96.63
B,secondary,mujoco_rollout_test08,3,0.0,0.0,0.0,0.0,96.74
B,secondary,mujoco_rollout_test09,3,0.0,0.0,0.0,0.0,98.26
B,secondary,mujoco_rollout_test10,3,0.0,0.0,0.0,0.0,97.59
