candidate,track,scene_id,seed,wall_time_s,step_count,ended_reason,ended_by_safety_reject,real_follower_write_count,kinematic_pick_drop_success,physics_pick_drop_success,approach_success,approach_min_dist_m,grasp_pose_reached,gripper_close_detected,gripper_close_timing_ok,lift_success,lift_max_height_m,carry_direction_ok,carry_bin_dist_trend,bin_vicinity_reached,ee_bin_min_dist_m,gripper_release_detected,release_timing_ok,grasp_contact_detected,cube_secured,physics_lifted,physics_carried,physics_released,physics_dropped_early,physics_final_in_bin,safety_accept_count,safety_would_clamp_count,safety_reject_count,clamp_free,mean_abs_jerk_deg,max_single_step_delta_deg,failure_reason,failure_track,failure_cause,episode_index,dataset_root
A,primary,mujoco_rollout_test01,0,3.14,350,episode_exhausted,False,0,False,False,False,0.1406,False,False,False,False,0.0,False,0.0,False,0.32,False,False,False,False,False,False,False,False,False,205,145,0,False,1.3317534717934902,20.45671941757202,failed_approach,kinematic,timeout,0,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test01,1,2.55,350,episode_exhausted,False,0,False,False,False,0.14,False,False,False,False,0.0,False,0.0,False,0.3216,False,False,False,False,False,False,False,False,False,181,169,0,False,1.213018238173414,21.916459102630615,failed_approach,kinematic,timeout,0,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test01,2,2.61,350,episode_exhausted,False,0,False,False,False,0.1401,False,False,False,False,0.0,False,0.0,False,0.3166,False,False,False,False,False,False,False,False,False,178,172,0,False,1.2408623066900573,19.033587474822998,failed_approach,kinematic,timeout,0,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test02,0,2.73,350,episode_exhausted,False,0,False,False,False,0.1402,False,False,False,False,0.0,False,0.0,False,0.2682,False,False,False,False,False,False,False,False,False,126,224,0,False,1.274316414732673,15.815687058562892,failed_approach,kinematic,timeout,1,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test02,1,2.63,350,episode_exhausted,False,0,False,False,False,0.1452,False,False,False,False,0.0,False,0.0,False,0.2678,False,False,False,False,False,False,False,False,False,135,215,0,False,1.3097415669869585,13.118680986371416,failed_approach,kinematic,timeout,1,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test02,2,2.07,230,safety_reject,True,0,False,False,False,0.1467,False,False,False,False,0.0,False,0.0,False,0.2597,False,False,False,False,False,False,False,False,False,73,156,1,False,1.285755778231949,14.320858260469505,safety_reject,kinematic,safety_reject,1,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test03,0,2.74,350,episode_exhausted,False,0,False,False,True,0.0565,False,False,False,False,0.0,False,0.0,False,0.3162,False,False,False,False,False,False,False,False,False,128,222,0,False,1.2345312499312708,17.184907913208008,missed_grasp,kinematic,policy_trajectory,2,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test03,1,2.85,350,episode_exhausted,False,0,False,False,False,0.065,False,False,False,False,0.0,False,0.0,False,0.3186,False,False,False,False,False,False,False,False,False,155,195,0,False,1.2550630566482825,16.932381629943848,failed_approach,kinematic,timeout,2,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test03,2,2.69,350,episode_exhausted,False,0,False,False,False,0.0626,False,True,False,True,0.1497,False,-0.2308,False,0.3199,False,False,False,False,False,False,False,False,False,130,220,0,False,1.2911192945713028,20.376352310180664,failed_approach,kinematic,timeout,2,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test04,0,1.99,230,safety_reject,True,0,False,False,True,0.0514,False,False,False,False,0.0,False,0.0,False,0.2103,False,False,False,False,False,False,False,False,False,75,154,1,False,1.334344241060564,19.638834815165215,safety_reject,kinematic,safety_reject,3,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test04,1,1.91,232,safety_reject,True,0,False,False,True,0.053,False,False,False,False,0.0,False,0.0,False,0.2007,False,False,False,False,False,False,False,False,False,51,180,1,False,1.3866210236439542,21.499581943191927,safety_reject,kinematic,safety_reject,3,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test04,2,2.51,350,episode_exhausted,False,0,False,False,True,0.0529,False,False,False,False,0.0,False,0.0,False,0.2104,False,False,False,False,False,False,False,False,False,116,234,0,False,1.310747840245277,21.938203299720637,missed_grasp,kinematic,policy_trajectory,3,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test05,0,2.71,350,episode_exhausted,False,0,False,False,True,0.0239,True,True,False,True,0.133,False,-0.2313,False,0.3264,False,False,False,False,False,False,False,False,False,115,235,0,False,1.285107420377588,11.390966567993164,wrong_direction,kinematic,policy_trajectory,4,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test05,1,2.49,350,episode_exhausted,False,0,False,False,True,0.0242,True,True,False,True,0.155,False,-0.2369,False,0.3224,False,False,False,False,False,False,False,False,False,137,213,0,False,1.2622908822228986,12.838732748011985,wrong_direction,kinematic,policy_trajectory,4,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test05,2,2.56,350,episode_exhausted,False,0,False,False,True,0.0241,True,True,False,True,0.1466,False,-0.2351,False,0.3206,False,False,False,False,False,False,False,False,False,143,207,0,False,1.3013926806457723,13.613056691294943,wrong_direction,kinematic,policy_trajectory,4,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test06,0,2.73,350,episode_exhausted,False,0,False,False,True,0.0288,False,True,False,True,0.19,False,-0.2733,False,0.3168,False,False,False,False,False,False,False,False,False,95,255,0,False,1.2316982643482297,23.114869747161865,missed_grasp,kinematic,policy_trajectory,5,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
A,primary,mujoco_rollout_test06,1,2.54,350,episode_exhausted,False,0,False,False,True,0.0286,False,True,False,True,0.172,False,-0.2754,False,0.316,False,False,True,False,False,False,False,False,False,96,254,0,False,1.274378229046051,19.477734241485596,missed_grasp,kinematic,policy_trajectory,5,/home/rlack/Projects/physical-ai-dummy/physical-ai-dummy/data/so101_cube_xy_midpoint_test10_v2_clean
