candidate,track,scene_id,seed,safety_accept_count,safety_would_clamp_count,safety_reject_count,clamp_free,max_single_step_delta_deg,ended_by_safety_reject,real_follower_write_count
A,primary,mujoco_rollout_test01,0,205,145,0,False,20.45671941757202,False,0
A,primary,mujoco_rollout_test01,1,181,169,0,False,21.916459102630615,False,0
A,primary,mujoco_rollout_test01,2,178,172,0,False,19.033587474822998,False,0
A,primary,mujoco_rollout_test02,0,126,224,0,False,15.815687058562892,False,0
A,primary,mujoco_rollout_test02,1,135,215,0,False,13.118680986371416,False,0
A,primary,mujoco_rollout_test02,2,73,156,1,False,14.320858260469505,True,0
A,primary,mujoco_rollout_test03,0,128,222,0,False,17.184907913208008,False,0
A,primary,mujoco_rollout_test03,1,155,195,0,False,16.932381629943848,False,0
A,primary,mujoco_rollout_test03,2,130,220,0,False,20.376352310180664,False,0
A,primary,mujoco_rollout_test04,0,75,154,1,False,19.638834815165215,True,0
A,primary,mujoco_rollout_test04,1,51,180,1,False,21.499581943191927,True,0
A,primary,mujoco_rollout_test04,2,116,234,0,False,21.938203299720637,False,0
A,primary,mujoco_rollout_test05,0,115,235,0,False,11.390966567993164,False,0
A,primary,mujoco_rollout_test05,1,137,213,0,False,12.838732748011985,False,0
A,primary,mujoco_rollout_test05,2,143,207,0,False,13.613056691294943,False,0
A,primary,mujoco_rollout_test06,0,95,255,0,False,23.114869747161865,False,0
A,primary,mujoco_rollout_test06,1,96,254,0,False,19.477734241485596,False,0
A,primary,mujoco_rollout_test06,2,85,265,0,False,16.270581245422363,False,0
A,primary,mujoco_rollout_test07,0,115,235,0,False,19.032496287908657,False,0
A,primary,mujoco_rollout_test07,1,93,257,0,False,15.59236839587652,False,0
A,primary,mujoco_rollout_test07,2,114,236,0,False,17.170902252197266,False,0
A,primary,mujoco_rollout_test08,0,119,231,0,False,21.735901018558934,False,0
A,primary,mujoco_rollout_test08,1,113,237,0,False,20.89938050475702,False,0
A,primary,mujoco_rollout_test08,2,116,234,0,False,16.35050855100053,False,0
A,primary,mujoco_rollout_test09,0,127,223,0,False,24.363235473632812,False,0
A,primary,mujoco_rollout_test09,1,125,225,0,False,22.703369140625,False,0
A,primary,mujoco_rollout_test09,2,137,213,0,False,17.15964126586914,False,0
A,primary,mujoco_rollout_test10,0,50,187,1,False,19.464988708496094,True,0
A,primary,mujoco_rollout_test10,1,122,228,0,False,21.0783067843117,False,0
A,primary,mujoco_rollout_test10,2,116,234,0,False,22.056096995492325,False,0
A,secondary,mujoco_rollout_test01,0,66,334,0,False,6.553703308105469,False,0
A,secondary,mujoco_rollout_test01,1,116,284,0,False,7.852992057800293,False,0
A,secondary,mujoco_rollout_test01,2,164,236,0,False,6.476459005976821,False,0
A,secondary,mujoco_rollout_test02,0,37,363,0,False,5.117212295532227,False,0
A,secondary,mujoco_rollout_test02,1,138,262,0,False,7.851275444030762,False,0
A,secondary,mujoco_rollout_test02,2,214,186,0,False,5.8544464111328125,False,0
A,secondary,mujoco_rollout_test03,0,52,348,0,False,6.264951705932617,False,0
A,secondary,mujoco_rollout_test03,1,72,328,0,False,6.965886395694035,False,0
A,secondary,mujoco_rollout_test03,2,102,298,0,False,6.25075693149806,False,0
A,secondary,mujoco_rollout_test04,0,50,350,0,False,6.524225234985352,False,0
A,secondary,mujoco_rollout_test04,1,61,339,0,False,5.961295127868652,False,0
A,secondary,mujoco_rollout_test04,2,114,286,0,False,6.779504204170564,False,0
A,secondary,mujoco_rollout_test05,0,36,364,0,False,5.54598331451416,False,0
A,secondary,mujoco_rollout_test05,1,39,361,0,False,5.672264769177598,False,0
A,secondary,mujoco_rollout_test05,2,160,240,0,False,6.495847629555485,False,0
A,secondary,mujoco_rollout_test06,0,172,228,0,False,5.237138748168945,False,0
A,secondary,mujoco_rollout_test06,1,150,250,0,False,6.855380058288574,False,0
A,secondary,mujoco_rollout_test06,2,187,213,0,False,6.453689200569542,False,0
A,secondary,mujoco_rollout_test07,0,59,341,0,False,4.760164260864258,False,0
A,secondary,mujoco_rollout_test07,1,67,333,0,False,5.253904342651367,False,0
A,secondary,mujoco_rollout_test07,2,215,185,0,False,6.40323634726164,False,0
A,secondary,mujoco_rollout_test08,0,71,329,0,False,5.374174118041992,False,0
A,secondary,mujoco_rollout_test08,1,78,322,0,False,6.0706377029418945,False,0
A,secondary,mujoco_rollout_test08,2,236,164,0,False,6.377233731141928,False,0
A,secondary,mujoco_rollout_test09,0,40,360,0,False,4.74575138092041,False,0
A,secondary,mujoco_rollout_test09,1,46,354,0,False,5.973602294921875,False,0
A,secondary,mujoco_rollout_test09,2,54,346,0,False,6.403738838942246,False,0
A,secondary,mujoco_rollout_test10,0,82,318,0,False,5.018178939819336,False,0
A,secondary,mujoco_rollout_test10,1,309,91,0,False,6.337472915649414,False,0
A,secondary,mujoco_rollout_test10,2,314,86,0,False,6.004606079534852,False,0
B,primary,mujoco_rollout_test01,0,236,114,0,False,25.30878875732422,False,0
B,primary,mujoco_rollout_test01,1,229,121,0,False,22.79883861541748,False,0
B,primary,mujoco_rollout_test01,2,218,132,0,False,22.68700454711914,False,0
B,primary,mujoco_rollout_test02,0,198,152,0,False,28.40786878085234,False,0
B,primary,mujoco_rollout_test02,1,183,167,0,False,24.924135208129883,False,0
B,primary,mujoco_rollout_test02,2,195,155,0,False,19.978439982360975,False,0
B,primary,mujoco_rollout_test03,0,188,162,0,False,21.41642395019531,False,0
B,primary,mujoco_rollout_test03,1,204,146,0,False,19.837119102478027,False,0
B,primary,mujoco_rollout_test03,2,201,149,0,False,22.255695343017578,False,0
B,primary,mujoco_rollout_test04,0,177,173,0,False,27.95534324645996,False,0
B,primary,mujoco_rollout_test04,1,135,215,0,False,29.192678451538086,False,0
B,primary,mujoco_rollout_test04,2,151,199,0,False,25.737059593200684,False,0
B,primary,mujoco_rollout_test05,0,215,135,0,False,20.21619987487793,False,0
B,primary,mujoco_rollout_test05,1,209,141,0,False,20.69305419921875,False,0
B,primary,mujoco_rollout_test05,2,208,142,0,False,16.960278511047363,False,0
B,primary,mujoco_rollout_test06,0,189,161,0,False,27.32952880859375,False,0
B,primary,mujoco_rollout_test06,1,199,151,0,False,20.256084899902344,False,0
B,primary,mujoco_rollout_test06,2,169,181,0,False,23.134063720703125,False,0
B,primary,mujoco_rollout_test07,0,182,168,0,False,13.530892372131348,False,0
B,primary,mujoco_rollout_test07,1,193,157,0,False,19.916508674621582,False,0
B,primary,mujoco_rollout_test07,2,167,183,0,False,14.151763916015625,False,0
B,primary,mujoco_rollout_test08,0,199,151,0,False,20.737293237552496,False,0
B,primary,mujoco_rollout_test08,1,208,142,0,False,13.45328140258789,False,0
B,primary,mujoco_rollout_test08,2,202,148,0,False,16.73004913330078,False,0
B,primary,mujoco_rollout_test09,0,201,149,0,False,19.146942138671875,False,0
B,primary,mujoco_rollout_test09,1,212,138,0,False,25.86754608154297,False,0
B,primary,mujoco_rollout_test09,2,208,142,0,False,15.604747772216797,False,0
B,primary,mujoco_rollout_test10,0,45,33,1,False,26.076087951660156,True,0
B,primary,mujoco_rollout_test10,1,150,200,0,False,17.396454031111347,False,0
B,primary,mujoco_rollout_test10,2,172,178,0,False,19.369123117354924,False,0
B,secondary,mujoco_rollout_test01,0,353,47,0,False,5.677392959594727,False,0
B,secondary,mujoco_rollout_test01,1,326,74,0,False,6.545070506571154,False,0
B,secondary,mujoco_rollout_test01,2,341,59,0,False,5.776555022997755,False,0
B,secondary,mujoco_rollout_test02,0,349,51,0,False,5.956001281738281,False,0
B,secondary,mujoco_rollout_test02,1,339,61,0,False,5.251886367797852,False,0
B,secondary,mujoco_rollout_test02,2,343,57,0,False,6.026402596938837,False,0
B,secondary,mujoco_rollout_test03,0,342,58,0,False,7.957400865282686,False,0
B,secondary,mujoco_rollout_test03,1,332,68,0,False,6.894659042358398,False,0
B,secondary,mujoco_rollout_test03,2,342,58,0,False,5.811648473191781,False,0
B,secondary,mujoco_rollout_test04,0,354,46,0,False,5.666107177734375,False,0
