experiment,checkpoint_step,train_loss,lr,wall_time_since_start_min,gpu_mem_gb,offline_action_mae,offline_shoulder_lift_mae,offline_elbow_flex_mae,offline_would_pass,offline_would_clamp,offline_would_reject
v2_baseline,2500,,,,,5.387455,7.644483,9.491504,133,2893,262
combined65_baseline,2500,0.124,8.6e-05,16.15,2.44,4.71568,7.465131,6.873409,256,3011,21
combined65_early_weight_v1,2500,0.123,8.6e-05,15.63,2.45,4.653376,7.417807,6.758769,244,3025,19
v2_baseline,5000,,,,,4.290886,6.079775,7.121912,500,2663,125
combined65_baseline,5000,0.082,5.2e-05,32.95,2.44,4.34042,5.84593,7.207758,375,2809,104
combined65_early_weight_v1,5000,0.082,5.2e-05,32.0,2.45,4.429281,6.025999,7.351407,340,2837,111
v2_baseline,7500,,,,,3.984113,5.728544,6.268239,547,2644,97
combined65_baseline,7500,0.066,1.7e-05,49.85,2.44,3.412268,4.70044,5.30516,688,2590,10
combined65_early_weight_v1,7500,0.064,1.7e-05,48.57,2.45,3.402267,4.612122,5.259567,704,2577,7
v2_baseline,10000,,,,,4.220978,5.986269,7.188133,569,2565,154
combined65_baseline,10000,0.053,2.5e-06,66.63,2.44,3.639608,5.051795,6.009518,659,2568,61
combined65_early_weight_v1,10000,0.052,2.5e-06,64.85,2.45,3.61082,4.984619,5.894601,664,2573,51
