experiment,checkpoint_step,joint,delta_mean_deg,delta_std_deg,would_clamp_threshold_deg,clamp_count,n_seeds,clamp_rate,clamp_free_seed_count,l2_error_vs_gt_mean,l2_error_vs_gt_std
v2_baseline,7500,shoulder_pan,-0.966823758135785,0.8663931641498636,4.58,0,20,0.0,4,4.616692122627906,2.3376982366359664
v2_baseline,7500,shoulder_lift,5.1273517063685885,3.0132877030260365,5.16,9,20,0.45,4,4.616692122627906,2.3376982366359664
v2_baseline,7500,elbow_flex,-7.08021777645572,2.303187076858453,5.73,15,20,0.75,4,4.616692122627906,2.3376982366359664
v2_baseline,7500,wrist_flex,0.6643664663964571,0.9319978307885665,4.01,0,20,0.0,4,4.616692122627906,2.3376982366359664
v2_baseline,7500,wrist_roll,0.42446896872677603,0.15732250029480144,1.15,0,20,0.0,4,4.616692122627906,2.3376982366359664
v2_baseline,7500,gripper,0.6804021467744604,0.5650696262976422,9.17,0,20,0.0,4,4.616692122627906,2.3376982366359664
combined65_baseline,2500,shoulder_pan,-4.864486063967695,2.2121389882928235,4.58,10,20,0.5,5,13.169631325915748,6.164234442254867
combined65_baseline,2500,shoulder_lift,-0.021445138113833195,7.781484962129642,5.16,11,20,0.55,5,13.169631325915748,6.164234442254867
combined65_baseline,2500,elbow_flex,1.6277961395599079,6.809303349701416,5.73,6,20,0.3,5,13.169631325915748,6.164234442254867
combined65_baseline,2500,wrist_flex,-2.0274729424780547,3.0313615981524165,4.01,5,20,0.25,5,13.169631325915748,6.164234442254867
combined65_baseline,2500,wrist_roll,0.4140732511059264,0.3294857563564884,1.15,1,20,0.05,5,13.169631325915748,6.164234442254867
combined65_baseline,2500,gripper,1.562281047302415,1.4020639723569266,9.17,0,20,0.0,5,13.169631325915748,6.164234442254867
combined65_baseline,5000,shoulder_pan,-2.5954894437894716,1.511605018008957,4.58,3,20,0.15,4,6.828855238347889,3.2476079355419056
combined65_baseline,5000,shoulder_lift,5.263076727730893,4.128525858688536,5.16,9,20,0.45,4,6.828855238347889,3.2476079355419056
combined65_baseline,5000,elbow_flex,-8.20830729977115,3.347225991067444,5.73,15,20,0.75,4,6.828855238347889,3.2476079355419056
combined65_baseline,5000,wrist_flex,0.5189090079003634,1.5938879463896996,4.01,0,20,0.0,4,6.828855238347889,3.2476079355419056
combined65_baseline,5000,wrist_roll,0.4266234859005431,0.22048314473108033,1.15,0,20,0.0,4,6.828855238347889,3.2476079355419056
combined65_baseline,5000,gripper,0.3431612124025122,0.8522417607040715,9.17,0,20,0.0,4,6.828855238347889,3.2476079355419056
combined65_baseline,7500,shoulder_pan,-0.2112710847959411,0.842475690996113,4.58,0,20,0.0,3,4.78002046581492,2.22464890314531
combined65_baseline,7500,shoulder_lift,4.512215750558042,3.024942198164449,5.16,7,20,0.35,3,4.78002046581492,2.22464890314531
combined65_baseline,7500,elbow_flex,-7.664412341275056,2.298314083597415,5.73,17,20,0.85,3,4.78002046581492,2.22464890314531
combined65_baseline,7500,wrist_flex,-0.704607456333035,1.0517631502119502,4.01,0,20,0.0,3,4.78002046581492,2.22464890314531
combined65_baseline,7500,wrist_roll,0.2318732007519225,0.14553147166548147,1.15,0,20,0.0,3,4.78002046581492,2.22464890314531
combined65_baseline,7500,gripper,0.2792016138612524,0.5908227281259589,9.17,0,20,0.0,3,4.78002046581492,2.22464890314531
combined65_baseline,10000,shoulder_pan,-0.4958320512876405,0.7645860803747021,4.58,0,20,0.0,5,4.1536061685141785,1.8732846672676802
combined65_baseline,10000,shoulder_lift,3.830196326119565,2.7716309834165385,5.16,5,20,0.25,5,4.1536061685141785,1.8732846672676802
combined65_baseline,10000,elbow_flex,-6.876480899014311,2.121249388030696,5.73,15,20,0.75,5,4.1536061685141785,1.8732846672676802
combined65_baseline,10000,wrist_flex,-0.7285666161841092,1.0559216412149446,4.01,0,20,0.0,5,4.1536061685141785,1.8732846672676802
combined65_baseline,10000,wrist_roll,0.21378817401089467,0.13142791763559808,1.15,0,20,0.0,5,4.1536061685141785,1.8732846672676802
combined65_baseline,10000,gripper,-0.18843830923445057,0.5384754504579705,9.17,0,20,0.0,5,4.1536061685141785,1.8732846672676802
combined65_early_weight_v1,2500,shoulder_pan,-3.9136761083707703,2.4836210651892383,4.58,8,20,0.4,4,13.303561266016683,6.4088321545014955
combined65_early_weight_v1,2500,shoulder_lift,-1.4578354426792628,7.817404998466387,5.16,12,20,0.6,4,13.303561266016683,6.4088321545014955
combined65_early_weight_v1,2500,elbow_flex,1.1028575561858844,7.104389327731175,5.73,7,20,0.35,4,13.303561266016683,6.4088321545014955
combined65_early_weight_v1,2500,wrist_flex,-2.844317119724148,3.104129740819868,4.01,6,20,0.3,4,13.303561266016683,6.4088321545014955
combined65_early_weight_v1,2500,wrist_roll,0.3776357158199767,0.3100229663836993,1.15,0,20,0.0,4,13.303561266016683,6.4088321545014955
combined65_early_weight_v1,2500,gripper,0.8450311293184057,1.3487207553795943,9.17,0,20,0.0,4,13.303561266016683,6.4088321545014955
combined65_early_weight_v1,5000,shoulder_pan,-2.7589921846494567,1.5768175551148809,4.58,3,20,0.15,4,6.836334904927365,3.308551126778066
combined65_early_weight_v1,5000,shoulder_lift,5.222235052926206,3.9771964935027246,5.16,10,20,0.5,4,6.836334904927365,3.308551126778066
combined65_early_weight_v1,5000,elbow_flex,-8.098633227505525,3.6319154371331814,5.73,15,20,0.75,4,6.836334904927365,3.308551126778066
combined65_early_weight_v1,5000,wrist_flex,0.05946686922848841,1.4759255017851198,4.01,0,20,0.0,4,6.836334904927365,3.308551126778066
combined65_early_weight_v1,5000,wrist_roll,0.46309091887631215,0.20937754447783746,1.15,0,20,0.0,4,6.836334904927365,3.308551126778066
combined65_early_weight_v1,5000,gripper,0.2950421919404761,0.8217513373543354,9.17,0,20,0.0,4,6.836334904927365,3.308551126778066
combined65_early_weight_v1,7500,shoulder_pan,-0.19406756306742548,0.9394342018750828,4.58,0,20,0.0,5,4.403173070713121,1.8636182132247447
combined65_early_weight_v1,7500,shoulder_lift,3.2529387882777683,2.732862795225781,5.16,5,20,0.25,5,4.403173070713121,1.8636182132247447
combined65_early_weight_v1,7500,elbow_flex,-6.94469607845767,2.4162776842016127,5.73,15,20,0.75,5,4.403173070713121,1.8636182132247447
combined65_early_weight_v1,7500,wrist_flex,-0.6889246636694608,1.0010462031754972,4.01,0,20,0.0,5,4.403173070713121,1.8636182132247447
combined65_early_weight_v1,7500,wrist_roll,0.26261272273220815,0.1453317431351385,1.15,0,20,0.0,5,4.403173070713121,1.8636182132247447
combined65_early_weight_v1,7500,gripper,0.33102861543290774,0.5769612830112316,9.17,0,20,0.0,5,4.403173070713121,1.8636182132247447
combined65_early_weight_v1,10000,shoulder_pan,-0.4020773782834901,0.8333658150061664,4.58,0,20,0.0,5,3.9351840131618694,1.6910679028416178
combined65_early_weight_v1,10000,shoulder_lift,3.1389861515590183,2.4679205657049357,5.16,5,20,0.25,5,3.9351840131618694,1.6910679028416178
combined65_early_weight_v1,10000,elbow_flex,-6.461300311245756,2.212179379719786,5.73,15,20,0.75,5,3.9351840131618694,1.6910679028416178
combined65_early_weight_v1,10000,wrist_flex,-0.7268692666357695,0.9931075712260823,4.01,0,20,0.0,5,3.9351840131618694,1.6910679028416178
combined65_early_weight_v1,10000,wrist_roll,0.21939284644284046,0.13000566006237646,1.15,0,20,0.0,5,3.9351840131618694,1.6910679028416178
combined65_early_weight_v1,10000,gripper,0.019127475219895107,0.5326301407559358,9.17,0,20,0.0,5,3.9351840131618694,1.6910679028416178
