seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-1.892510,3.984018,-12.317876,-0.156078,0.173834,-0.091777,1,1,"elbow_flex",7.992643
1,-0.923730,10.284112,-8.246808,-1.507179,0.259753,-0.326511,2,1,"shoulder_lift;elbow_flex",7.659269
2,0.234122,1.296075,-4.846783,-1.109211,0.210068,0.097307,0,0,"",2.950058
3,0.490729,1.783784,-8.298711,0.621945,0.155380,0.086981,1,1,"elbow_flex",4.289330
4,-1.767638,2.802827,-6.590161,-1.012432,0.374381,1.198218,1,1,"elbow_flex",3.585166
5,0.097758,3.833604,-6.271611,0.792839,0.281497,-0.688754,1,1,"elbow_flex",1.830317
6,0.218610,1.514489,-6.784459,0.405579,0.055650,-0.246595,1,1,"elbow_flex",3.210461
7,-0.548577,5.368226,-7.619435,-0.245487,0.151916,-0.897489,2,1,"shoulder_lift;elbow_flex",3.522081
8,-0.664622,1.166589,-3.742734,-0.751346,0.335039,-0.086303,0,0,"",3.153331
9,-0.376691,1.641076,-6.396298,-0.661396,0.151443,-0.737111,1,1,"elbow_flex",3.072965
10,-0.210389,5.311036,-7.341313,-0.928280,0.163480,0.250814,2,1,"shoulder_lift;elbow_flex",3.372042
11,-0.334018,1.772187,-6.667928,-0.325870,0.342662,0.567594,1,1,"elbow_flex",3.184264
12,-0.061370,-1.737647,-4.149731,-1.442139,0.013819,0.956607,0,0,"",6.008644
13,1.128356,2.298951,-5.942082,-0.000988,0.331938,-0.090179,1,1,"elbow_flex",2.325574
14,-0.398850,3.054811,-6.434636,-1.508522,0.184106,0.009699,1,1,"elbow_flex",2.733523
15,-0.966805,6.117738,-7.632123,-1.568024,0.222332,-0.206727,2,1,"shoulder_lift;elbow_flex",4.332751
16,-2.041286,5.338281,-8.329564,0.722874,0.291256,0.532302,2,1,"shoulder_lift;elbow_flex",4.690201
17,-1.030416,3.641862,-4.914800,-1.894363,0.205093,-0.607112,0,0,"",2.496568
18,0.683679,2.368180,-5.845555,-0.619419,-0.051156,0.325677,1,1,"elbow_flex",2.268387
19,0.322101,0.939523,-0.853398,-3.349888,0.535365,0.335909,0,0,"",6.026104
