experiment,checkpoint_step,bucket,chunk_indices,mae_overall_deg,mae_shoulder_lift_deg,mae_elbow_flex_deg,mae_key_joints_mean_deg,n_seeds
combined65_baseline,2500,step0,0-0,4.233918190002441,6.831961631774902,8.940553665161133,7.886257648468018,20
combined65_baseline,2500,step1_2,1-2,4.071725845336914,6.644334316253662,9.51619815826416,8.080266237258911,20
combined65_baseline,2500,step3_plus,3-49,9.059351921081543,15.747241973876953,19.37606430053711,17.56165313720703,20
combined65_early_weight,2500,step0,0-0,4.109132289886475,7.3398942947387695,8.664463996887207,8.002179145812988,20
combined65_early_weight,2500,step1_2,1-2,3.7998428344726562,6.830801486968994,8.071321487426758,7.451061487197876,20
combined65_early_weight,2500,step3_plus,3-49,8.377667427062988,14.507180213928223,16.440031051635742,15.473605632781982,20
combined65_baseline,5000,step0,0-0,1.9081860780715942,3.311771869659424,2.9412639141082764,3.12651789188385,20
combined65_baseline,5000,step1_2,1-2,1.8628181219100952,2.8241524696350098,2.906879186630249,2.8655158281326294,20
combined65_baseline,5000,step3_plus,3-49,4.052789211273193,5.125509738922119,5.135533809661865,5.130521774291992,20
combined65_early_weight,5000,step0,0-0,1.9023882150650024,3.2946858406066895,3.0754330158233643,3.185059428215027,20
combined65_early_weight,5000,step1_2,1-2,1.8865457773208618,2.5824081897735596,3.0837063789367676,2.8330572843551636,20
combined65_early_weight,5000,step3_plus,3-49,3.950589418411255,4.6161112785339355,4.830598831176758,4.723355054855347,20
combined65_baseline,7500,step0,0-0,1.174049973487854,2.3176321983337402,2.0484111309051514,2.183021664619446,20
combined65_baseline,7500,step1_2,1-2,1.1937047243118286,1.960679292678833,2.0158846378326416,1.9882819652557373,20
combined65_baseline,7500,step3_plus,3-49,6.1520819664001465,10.015387535095215,12.411230087280273,11.213308811187744,20
combined65_early_weight,7500,step0,0-0,1.099657416343689,2.0704846382141113,1.7657737731933594,1.9181292057037354,20
combined65_early_weight,7500,step1_2,1-2,1.206502079963684,2.079991102218628,1.9513013362884521,2.01564621925354,20
combined65_early_weight,7500,step3_plus,3-49,6.06719446182251,9.823044776916504,12.041535377502441,10.932290077209473,20
combined65_baseline,10000,step0,0-0,0.9807382225990295,2.029447555541992,1.5829658508300781,1.8062067031860352,20
combined65_baseline,10000,step1_2,1-2,1.0508004426956177,1.8413358926773071,1.7828859090805054,1.8121109008789062,20
combined65_baseline,10000,step3_plus,3-49,4.353827953338623,5.897100448608398,7.753961086273193,6.825530767440796,20
combined65_early_weight,10000,step0,0-0,0.9612805843353271,1.8642857074737549,1.52153742313385,1.6929115653038025,20
combined65_early_weight,10000,step1_2,1-2,1.0878939628601074,1.9627139568328857,1.7712695598602295,1.8669917583465576,20
combined65_early_weight,10000,step3_plus,3-49,4.622270584106445,6.510777473449707,8.337241172790527,7.424009323120117,20
