seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-1.760400,4.628831,-11.827023,-0.195309,0.147833,-0.253974,1,1,"elbow_flex",7.521155
1,-1.121255,11.902963,-9.164189,-1.740246,0.269538,-0.483026,2,1,"shoulder_lift;elbow_flex",9.535626
2,0.118163,2.137216,-5.564038,-1.055080,0.217803,-0.230037,0,0,"",2.372008
3,0.426761,2.324746,-8.251294,0.741219,0.143635,-0.147098,1,1,"elbow_flex",4.002594
4,-1.707667,3.018579,-6.396092,-1.038925,0.367983,1.089749,1,1,"elbow_flex",3.350245
5,0.164794,5.052751,-7.239240,0.730412,0.279073,-0.959157,1,1,"elbow_flex",3.014966
6,0.187598,2.039415,-7.297635,0.569317,0.055642,-0.482759,1,1,"elbow_flex",3.272239
7,-0.533832,6.164964,-8.404301,-0.167347,0.150744,-1.064544,2,1,"shoulder_lift;elbow_flex",4.570974
8,-0.461986,1.330880,-4.137372,-0.744327,0.331203,-0.314222,0,0,"",2.859743
9,-0.598348,1.744706,-6.710332,-0.623054,0.127728,-1.008479,1,1,"elbow_flex",3.275024
10,-0.480668,6.381250,-7.667126,-1.062542,0.173332,0.066620,2,1,"shoulder_lift;elbow_flex",4.233576
11,-0.498734,2.311738,-6.959599,-0.359516,0.328243,0.282852,1,1,"elbow_flex",3.040852
12,-0.258433,-1.367843,-4.710912,-1.195969,0.003546,0.636466,0,0,"",5.526625
13,0.847730,3.320398,-6.509358,-0.025776,0.318107,-0.357135,1,1,"elbow_flex",2.136587
14,-0.659345,3.190126,-6.503476,-1.593792,0.171799,-0.188445,1,1,"elbow_flex",2.845397
15,-1.134406,7.394975,-8.229268,-1.672840,0.242786,-0.306981,2,1,"shoulder_lift;elbow_flex",5.559414
16,-1.927545,6.314866,-9.216237,0.907040,0.276988,0.421758,2,1,"shoulder_lift;elbow_flex",5.721583
17,-1.077184,4.245317,-5.178792,-2.002140,0.197538,-0.746051,0,0,"",2.688556
18,0.597877,2.799585,-6.158383,-0.563602,-0.061514,0.019512,1,1,"elbow_flex",2.105103
19,-0.039762,1.668466,-1.404950,-3.478855,0.533757,0.256188,0,0,"",5.439857
