dataset,episode,joint,n_static_frames,chunk0_abs_delta_mean,chunk_mean_abs_delta_mean,chunk_max_abs_delta_mean,frac_static_frames_chunk_mean_exceeds_would_clamp
v2_clean,0,shoulder_lift,23,0.62303,17.64984,41.47157,1.00000
v2_clean,0,elbow_flex,23,2.03536,16.43238,44.16436,1.00000
v2_clean,1,shoulder_lift,34,0.54040,17.54798,42.93730,1.00000
v2_clean,1,elbow_flex,34,2.14609,15.14130,38.84421,0.94118
v2_clean,2,shoulder_lift,29,0.32740,21.14322,49.57332,1.00000
v2_clean,2,elbow_flex,29,2.31148,21.46892,51.75142,1.00000
v2_clean,3,shoulder_lift,25,0.54154,23.91603,54.13275,1.00000
v2_clean,3,elbow_flex,25,2.21363,24.02096,57.59121,1.00000
v2_clean,4,shoulder_lift,28,0.63422,27.57959,65.10204,1.00000
v2_clean,4,elbow_flex,28,2.18210,23.62650,58.49294,1.00000
v2_clean,5,shoulder_lift,23,0.54658,20.53022,48.44720,1.00000
v2_clean,5,elbow_flex,23,2.02771,21.94332,55.84138,1.00000
v2_clean,6,shoulder_lift,24,0.49084,24.41941,54.64835,1.00000
v2_clean,6,elbow_flex,24,2.36630,26.16872,61.52381,1.00000
v2_clean,7,shoulder_lift,31,0.66927,19.73587,48.91599,1.00000
v2_clean,7,elbow_flex,31,2.10563,19.97181,51.15207,1.00000
v2_clean,8,shoulder_lift,25,0.68220,20.01400,49.22374,1.00000
v2_clean,8,elbow_flex,25,2.15737,17.84208,49.64044,1.00000
v2_clean,9,shoulder_lift,25,0.82638,24.56313,61.29582,1.00000
v2_clean,9,elbow_flex,25,2.36835,22.42335,59.41275,1.00000
v2_clean,10,shoulder_lift,32,0.52198,20.57588,52.40659,1.00000
v2_clean,10,elbow_flex,32,2.24451,17.80665,46.14011,1.00000
v2_clean,11,shoulder_lift,29,0.58810,21.26230,51.91663,1.00000
v2_clean,11,elbow_flex,29,2.19628,21.67645,56.50170,1.00000
v2_clean,12,shoulder_lift,30,0.48059,21.11250,51.12674,1.00000
v2_clean,12,elbow_flex,30,1.99853,22.66133,58.56410,1.00000
v2_clean,13,shoulder_lift,34,0.55074,15.24659,40.40078,0.91176
v2_clean,13,elbow_flex,34,2.15643,17.22074,46.65805,0.97059
v2_clean,14,shoulder_lift,25,0.41846,16.42388,48.50286,1.00000
v2_clean,14,elbow_flex,25,2.31561,20.95142,56.52923,1.00000
v2_clean,15,shoulder_lift,29,0.57598,15.56669,39.50284,1.00000
v2_clean,15,elbow_flex,29,2.54793,16.89446,43.36946,1.00000
v2_clean,16,shoulder_lift,29,0.66389,18.69411,43.35582,1.00000
v2_clean,16,elbow_flex,29,2.36301,18.32075,45.10041,1.00000
v2_clean,17,shoulder_lift,24,0.76557,19.39165,45.37729,1.00000
v2_clean,17,elbow_flex,24,2.31502,16.96132,43.25274,1.00000
v2_clean,18,shoulder_lift,24,0.53480,21.36593,49.37363,1.00000
v2_clean,18,elbow_flex,24,0.80953,20.49275,51.22344,1.00000
v2_clean,19,shoulder_lift,26,0.66610,21.17755,52.72696,1.00000
v2_clean,19,elbow_flex,26,2.14370,20.09332,51.59087,1.00000
v2_clean,20,shoulder_lift,24,0.51648,18.43194,43.67033,1.00000
v2_clean,20,elbow_flex,24,2.69231,22.26396,53.12820,1.00000
v2_clean,21,shoulder_lift,20,0.68571,21.74734,47.60440,1.00000
v2_clean,21,elbow_flex,20,2.77802,25.31815,56.86154,1.00000
v2_clean,22,shoulder_lift,24,0.82051,24.76791,55.09157,1.00000
v2_clean,22,elbow_flex,24,2.72161,25.43839,59.80220,1.00000
v2_clean,23,shoulder_lift,26,0.59172,20.35496,48.99408,1.00000
v2_clean,23,elbow_flex,26,2.30938,20.98604,50.51564,1.00000
v2_clean,24,shoulder_lift,15,1.07839,27.93319,59.00073,1.00000
v2_clean,24,elbow_flex,15,2.68718,26.13110,61.75238,1.00000
v2_clean,25,shoulder_lift,20,0.76044,20.28202,46.18901,1.00000
v2_clean,25,elbow_flex,20,1.65275,23.23613,56.46154,1.00000
v2_clean,26,shoulder_lift,23,0.52747,22.09307,50.59532,1.00000
v2_clean,26,elbow_flex,23,2.73865,26.55151,62.88581,1.00000
v2_clean,27,shoulder_lift,19,0.79584,23.79290,50.04512,1.00000
v2_clean,27,elbow_flex,19,2.32505,24.38746,58.79237,1.00000
v2_clean,28,shoulder_lift,17,0.72915,23.30932,49.38591,1.00000
v2_clean,28,elbow_flex,17,2.53135,26.62361,57.72980,1.00000
v2_clean,29,shoulder_lift,26,0.53085,19.60081,47.41166,1.00000
v2_clean,29,elbow_flex,26,2.21471,21.06218,52.86221,1.00000
v2_clean,30,shoulder_lift,20,0.66373,18.29626,43.52088,1.00000
v2_clean,30,elbow_flex,20,2.48352,20.95341,49.08132,1.00000
v2_clean,31,shoulder_lift,26,0.33812,15.04318,40.01014,1.00000
v2_clean,31,elbow_flex,26,2.14708,19.65457,49.21724,1.00000
v2_clean,32,shoulder_lift,20,0.76923,20.87683,46.71209,1.00000
v2_clean,32,elbow_flex,20,2.22857,20.41565,48.53187,1.00000
v2_clean,33,shoulder_lift,24,0.79487,19.63407,42.50549,1.00000
v2_clean,33,elbow_flex,24,2.29671,18.52037,46.78388,1.00000
v2_clean,34,shoulder_lift,22,0.76723,21.48140,44.49550,1.00000
v2_clean,34,elbow_flex,22,2.14985,21.65099,51.13686,1.00000
v3_clean,0,shoulder_lift,35,0.60534,13.12447,34.04961,0.85714
v3_clean,0,elbow_flex,35,2.28446,9.91332,23.99874,0.74286
v3_clean,1,shoulder_lift,40,0.55604,13.04620,34.28132,0.77500
v3_clean,1,elbow_flex,40,1.74725,10.64303,27.28791,0.70000
v3_clean,2,shoulder_lift,55,0.58661,10.12015,28.01838,0.56364
v3_clean,2,elbow_flex,55,2.00040,7.66722,19.73627,0.49091
v3_clean,3,shoulder_lift,28,0.62481,11.74298,31.37834,0.92857
v3_clean,3,elbow_flex,28,2.32339,15.79905,37.30612,1.00000
v3_clean,4,shoulder_lift,82,0.48673,5.37602,14.62128,0.34146
v3_clean,4,elbow_flex,82,1.91370,5.21460,12.62289,0.29268
v3_clean,5,shoulder_lift,25,0.84396,16.09044,40.04220,1.00000
v3_clean,5,elbow_flex,25,2.23472,15.15900,34.68835,1.00000
v3_clean,6,shoulder_lift,23,0.43956,9.08637,31.87004,0.73913
v3_clean,6,elbow_flex,23,2.19971,13.31058,32.62876,1.00000
v3_clean,7,shoulder_lift,64,0.49588,7.69563,21.45879,0.46875
v3_clean,7,elbow_flex,64,1.86951,8.10250,20.53984,0.46875
v3_clean,8,shoulder_lift,27,0.73260,12.61083,33.10704,0.96296
v3_clean,8,elbow_flex,27,2.06268,8.78411,22.82947,0.74074
v3_clean,9,shoulder_lift,82,0.58751,5.69645,15.10587,0.36585
v3_clean,9,elbow_flex,82,1.89547,6.35900,14.89895,0.36585
v3_clean,10,shoulder_lift,39,0.83404,13.34596,33.51479,0.82051
v3_clean,10,elbow_flex,39,2.41307,10.66085,25.42800,0.76923
v3_clean,11,shoulder_lift,27,0.70655,13.40484,33.58242,1.00000
v3_clean,11,elbow_flex,27,2.27431,14.87427,35.43020,1.00000
v3_clean,12,shoulder_lift,58,0.41228,8.31554,23.41645,0.50000
v3_clean,12,elbow_flex,58,2.10686,7.49790,18.38727,0.48276
v3_clean,13,shoulder_lift,28,0.55887,15.63981,37.27472,1.00000
v3_clean,13,elbow_flex,28,2.32026,15.73796,37.24333,1.00000
v3_clean,14,shoulder_lift,73,0.67921,7.25540,19.37076,0.42466
v3_clean,14,elbow_flex,73,2.50670,7.40210,16.82312,0.43836
v3_clean,15,shoulder_lift,69,0.38478,5.85890,15.92611,0.39130
v3_clean,15,elbow_flex,69,2.23284,6.61463,15.26422,0.40580
v3_clean,16,shoulder_lift,25,0.74198,14.15392,33.97978,1.00000
v3_clean,16,elbow_flex,25,1.97099,11.86216,28.49934,1.00000
v3_clean,17,shoulder_lift,20,0.80000,16.89143,39.07692,1.00000
v3_clean,17,elbow_flex,20,1.85055,12.20739,30.46154,1.00000
v3_clean,18,shoulder_lift,68,0.58177,7.10911,18.19392,0.45588
v3_clean,18,elbow_flex,68,2.00259,8.55907,19.82418,0.48529
v3_clean,19,shoulder_lift,38,0.58762,12.08527,31.70156,0.78947
v3_clean,19,elbow_flex,38,2.56333,15.61698,36.32389,0.92105
v3_clean,20,shoulder_lift,69,0.52492,8.80250,24.05479,0.47826
v3_clean,20,elbow_flex,69,1.59070,8.14736,20.98359,0.44928
v3_clean,21,shoulder_lift,21,0.64050,15.48986,36.16536,1.00000
v3_clean,21,elbow_flex,21,1.77708,19.09761,44.77865,1.00000
v3_clean,22,shoulder_lift,32,0.47527,10.58808,33.56319,0.75000
v3_clean,22,elbow_flex,32,2.22253,13.31110,33.94505,0.90625
v3_clean,23,shoulder_lift,52,0.27050,9.68744,27.26628,0.59615
v3_clean,23,elbow_flex,52,2.48859,12.79669,32.57650,0.67308
v3_clean,24,shoulder_lift,18,0.78633,18.61793,43.02808,1.00000
v3_clean,24,elbow_flex,18,2.18803,19.40493,43.50671,1.00000
v3_clean,25,shoulder_lift,77,0.50121,4.97749,13.97345,0.33766
v3_clean,25,elbow_flex,77,1.80562,7.58425,18.81375,0.40260
v3_clean,26,shoulder_lift,50,0.32879,11.62230,31.85407,0.64000
v3_clean,26,elbow_flex,50,2.21539,13.32136,33.73363,0.70000
v3_clean,27,shoulder_lift,18,0.75702,15.04859,31.98535,1.00000
v3_clean,27,elbow_flex,18,2.52991,19.64366,41.09890,1.00000
v3_clean,28,shoulder_lift,50,0.48000,10.31880,26.96967,0.64000
v3_clean,28,elbow_flex,50,2.15736,9.17145,23.81539,0.56000
v3_clean,29,shoulder_lift,35,0.50738,5.88946,21.16170,0.48571
v3_clean,29,elbow_flex,35,1.85746,11.66614,32.57896,0.77143
v4_train39,0,shoulder_lift,33,0.63936,15.00702,35.59641,0.96970
v4_train39,0,elbow_flex,33,2.79054,14.41764,31.76424,1.00000
v4_train39,1,shoulder_lift,33,0.43157,10.87856,25.28938,0.87879
v4_train39,1,elbow_flex,33,2.34565,10.95310,23.11688,0.90909
v4_train39,2,shoulder_lift,30,0.60366,12.83868,31.22930,0.96667
v4_train39,2,elbow_flex,30,1.79927,9.93061,25.42124,0.80000
v4_train39,3,shoulder_lift,39,0.32911,9.91472,27.38800,0.69231
v4_train39,3,elbow_flex,39,2.73767,12.36418,29.93181,0.84615
v4_train39,4,shoulder_lift,15,0.62124,16.08639,37.46813,1.00000
v4_train39,4,elbow_flex,15,2.17143,11.30339,29.48279,1.00000
v4_train39,5,shoulder_lift,22,0.53946,15.23357,37.57443,1.00000
v4_train39,5,elbow_flex,22,0.90310,10.75005,27.64435,0.95455
v4_train39,6,shoulder_lift,37,0.52035,12.64618,33.39947,0.83784
v4_train39,6,elbow_flex,37,2.64092,11.16393,27.30858,0.81081
v4_train39,7,shoulder_lift,19,0.74494,18.91396,45.04338,1.00000
v4_train39,7,elbow_flex,19,2.12608,16.54107,37.58241,1.00000
v4_train39,8,shoulder_lift,29,0.42440,15.25068,39.96059,1.00000
v4_train39,8,elbow_flex,29,2.17203,11.84594,30.89504,0.89655
v4_train39,9,shoulder_lift,35,0.59529,16.82341,41.89890,0.97143
v4_train39,9,elbow_flex,35,2.08101,13.29799,31.41853,0.91429
v4_train39,10,shoulder_lift,21,0.58190,10.89315,23.57300,1.00000
v4_train39,10,elbow_flex,21,1.83150,8.84990,17.44636,1.00000
v4_train39,11,shoulder_lift,37,0.49896,10.67476,28.44550,0.78378
v4_train39,11,elbow_flex,37,1.74517,9.36620,23.10543,0.70270
v4_train39,12,shoulder_lift,39,0.30657,9.20079,25.83038,0.66667
v4_train39,12,elbow_flex,39,1.75711,11.85064,29.74922,0.76923
v4_train39,13,shoulder_lift,36,0.57387,15.00977,38.33700,0.88889
v4_train39,13,elbow_flex,36,1.86569,12.72801,34.06593,0.80556
v4_train39,14,shoulder_lift,30,0.56850,12.37509,31.00659,0.93333
v4_train39,14,elbow_flex,30,2.14799,11.20446,28.17876,0.86667
v4_train39,15,shoulder_lift,30,0.54212,14.70851,36.72674,1.00000
v4_train39,15,elbow_flex,30,2.30623,13.59350,32.61246,1.00000
v4_train39,16,shoulder_lift,40,0.48132,7.50255,23.30549,0.57500
v4_train39,16,elbow_flex,40,3.22198,10.01565,24.38681,0.72500
v4_train39,17,shoulder_lift,44,0.63537,11.38394,29.91808,0.70455
v4_train39,17,elbow_flex,44,2.94505,11.56068,27.88611,0.75000
v4_train39,18,shoulder_lift,47,0.57049,8.84324,23.41641,0.61702
v4_train39,18,elbow_flex,47,2.22492,7.95694,19.56231,0.55319
v4_train39,19,shoulder_lift,45,1.06667,7.11525,18.42247,0.55556
v4_train39,19,elbow_flex,45,1.30989,8.37407,20.28522,0.60000
v4_train39,20,shoulder_lift,40,0.82857,10.72743,28.96703,0.72500
v4_train39,20,elbow_flex,40,1.20879,8.85688,23.41538,0.62500
v4_train39,21,shoulder_lift,31,0.66359,12.80278,31.23715,0.96774
v4_train39,21,elbow_flex,31,3.03013,12.25999,27.98866,1.00000
v4_train39,22,shoulder_lift,16,0.92857,17.44802,38.60989,1.00000
v4_train39,22,elbow_flex,16,2.57692,13.96198,32.40110,1.00000
v4_train39,23,shoulder_lift,33,0.68998,13.51257,31.50716,0.96970
v4_train39,23,elbow_flex,33,1.71695,10.13296,25.42124,0.78788
v4_train39,24,shoulder_lift,21,0.82051,13.53017,29.84406,1.00000
v4_train39,24,elbow_flex,21,2.03663,11.49061,24.45840,1.00000
v4_train39,25,shoulder_lift,15,0.61538,14.02256,32.82051,1.00000
v4_train39,25,elbow_flex,15,2.16557,10.40997,24.68279,1.00000
v4_train39,26,shoulder_lift,46,0.35356,9.17787,24.03440,0.63043
v4_train39,26,elbow_flex,46,2.07358,7.84608,18.71572,0.56522
v4_train39,27,shoulder_lift,37,0.46095,10.83927,27.52836,0.75676
v4_train39,27,elbow_flex,37,1.54796,11.32954,28.23047,0.75676
v4_train39,28,shoulder_lift,33,0.71661,13.42353,32.63669,0.93939
v4_train39,28,elbow_flex,33,2.29237,11.96803,29.84615,0.87879
v4_train39,29,shoulder_lift,26,0.55452,14.31486,31.96957,1.00000
v4_train39,29,elbow_flex,26,3.09383,15.51168,32.95689,1.00000
v4_train39,30,shoulder_lift,28,0.53375,13.82738,33.12716,1.00000
v4_train39,30,elbow_flex,28,1.78022,14.73275,34.67504,1.00000
