dataset,episode_a,frame_a,episode_b,frame_b,state_l2_dist_deg,shoulder_lift_action_delta_a,shoulder_lift_action_delta_b,shoulder_lift_diff_deg,elbow_flex_action_delta_a,elbow_flex_action_delta_b,elbow_flex_diff_deg,max_key_joint_diff_deg
v2_clean,18,0,22,23,2.19051,0.08791,4.65934,4.57143,-0.30769,-6.02198,5.71429,5.71429
v2_clean,18,1,22,23,2.19051,0.08791,4.65934,4.57143,-0.30769,-6.02198,5.71429,5.71429
v2_clean,18,2,22,23,2.19051,0.08791,4.65934,4.57143,-0.30769,-6.02198,5.71429,5.71429
v2_clean,18,3,22,23,2.19051,0.08791,4.65934,4.57143,-0.30769,-6.02198,5.71429,5.71429
v2_clean,18,4,22,23,2.19051,0.08791,4.65934,4.57143,-0.30769,-6.02198,5.71429,5.71429
v2_clean,18,5,22,23,2.19051,0.08791,4.65934,4.57143,-0.30769,-6.02198,5.71429,5.71429
v2_clean,18,6,22,23,2.19051,0.08791,4.65934,4.57143,-0.30769,-6.02198,5.71429,5.71429
v2_clean,18,7,22,23,2.19051,0.08791,4.65934,4.57143,-0.30769,-6.02198,5.71429,5.71429
v2_clean,18,8,22,23,2.19051,0.08791,4.65934,4.57143,-0.39561,-6.02198,5.62637,5.62637
v2_clean,18,9,22,23,2.19051,0.17583,4.65934,4.48351,-0.39561,-6.02198,5.62637,5.62637
v2_clean,18,10,22,23,2.19051,0.35165,4.65934,4.30769,-0.39561,-6.02198,5.62637,5.62637
v2_clean,18,11,22,23,2.19051,0.52747,4.65934,4.13187,-0.48352,-6.02198,5.53846,5.53846
v2_clean,18,12,22,23,2.19051,0.61539,4.65934,4.04395,-0.74725,-6.02198,5.27473,5.27473
v2_clean,9,0,22,23,2.44959,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,9,1,22,23,2.44959,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,9,2,22,23,2.44959,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,9,3,22,23,2.44959,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,9,4,22,23,2.44959,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,9,5,22,23,2.44959,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,9,6,22,23,2.44959,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,9,7,22,23,2.44959,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,9,8,22,23,2.44959,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,9,9,22,23,2.44959,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,9,10,22,23,2.44959,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,9,11,22,23,2.44959,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,9,12,22,23,2.44959,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,9,13,22,23,2.44959,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,16,0,22,23,1.47608,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,16,1,22,23,1.47608,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,16,2,22,23,1.47608,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,16,3,22,23,1.47608,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
v2_clean,16,4,22,23,1.47608,-0.52747,4.65934,5.18681,-2.06593,-6.02198,3.95605,5.18681
