heldout_episode,train_episode,start_state_l2_deg,start_state_near_duplicate,trajectory_mean_l2_deg,visual_feature_l2,video_hash_exact_match
0,36,1.21034,False,49.81773,7330.18652,False
0,31,2.23269,False,44.56405,6603.40869,False
3,31,2.46854,False,23.20539,5635.91895,False
3,36,3.35037,False,44.59986,6970.11182,False
2,11,4.07589,False,18.71056,5028.89746,False
0,33,4.13859,False,46.65739,7217.79248,False
0,28,4.17576,False,37.94639,5886.09131,False
3,33,4.26750,False,41.76858,6848.51611,False
0,25,4.36602,False,40.39633,7167.00684,False
0,8,4.37847,False,27.15135,5217.75098,False
0,0,4.52998,False,18.68981,4141.89746,False
0,15,4.64688,False,27.87226,5347.93896,False
0,18,4.66597,False,25.61698,7402.65381,False
5,6,4.67500,False,47.39685,5213.56445,False
3,38,4.74144,False,36.94456,7070.23975,False
3,0,4.91668,False,27.59120,6408.06641,False
3,18,5.01057,False,33.30261,6950.52588,False
3,25,5.01705,False,29.53889,6792.47412,False
5,11,5.05872,False,40.64071,5712.15381,False
3,15,5.21094,False,12.29634,4066.18750,False
3,28,5.24008,False,34.04990,6123.86328,False
3,8,5.33403,False,19.86015,5565.61230,False
4,14,5.38891,False,28.46851,4930.60938,False
4,20,5.79394,False,39.52303,7033.85791,False
1,33,5.98331,False,43.08143,5828.33887,False
4,24,6.11037,False,30.01975,6054.62012,False
2,34,6.12669,False,36.38359,5608.70166,False
1,21,6.22846,False,23.66614,6855.82471,False
0,21,6.36283,False,24.29972,5493.11572,False
5,23,6.41967,False,36.26924,6597.34180,False
1,37,6.44019,False,34.92202,6580.50195,False
1,29,6.51585,False,26.48362,6575.16260,False
3,21,6.60737,False,17.53866,5890.44922,False
0,38,6.67927,False,45.22894,7263.90479,False
0,22,6.78018,False,34.97263,5550.02148,False
1,31,6.81849,False,28.05850,4510.36621,False
1,38,7.32975,False,37.44773,5846.84375,False
5,10,7.53580,False,45.38649,6260.92822,False
2,6,7.64300,False,17.29575,3467.49780,False
1,36,7.64979,False,43.67900,6096.49219,False
5,38,7.79593,False,13.35028,3600.25366,False
1,18,7.85307,False,34.62905,5181.99121,False
1,15,7.92898,False,16.84957,6560.22314,False
5,2,7.94905,False,48.56809,7001.71387,False
2,1,7.96447,False,25.94085,7493.27588,False
4,22,8.02393,False,30.01056,4716.18213,False
1,25,8.22790,False,30.91536,5216.37793,False
1,8,8.25571,False,19.33434,7012.58350,False
2,10,8.39753,False,31.46108,6280.49805,False
2,19,8.43965,False,26.81002,4750.30615,False
3,22,8.57510,False,16.94952,4761.58838,False
5,17,8.60964,False,35.20946,5713.60107,False
5,5,8.70801,False,51.26717,5694.21680,False
4,38,8.81642,False,45.22244,6974.75293,False
2,23,8.85742,False,35.16628,6704.11621,False
1,28,9.02776,False,40.97657,6918.37500,False
1,0,9.03675,False,26.29928,7670.67334,False
5,37,9.07421,False,47.14427,7003.36084,False
2,7,9.19632,False,36.93267,7626.22314,False
0,20,9.19646,False,28.17294,7485.06641,False
5,34,9.31288,False,22.17421,4064.67798,False
4,16,9.32598,False,25.10296,5921.48584,False
3,37,9.34248,False,30.11935,4818.55615,False
3,6,9.60009,False,33.45400,7309.03906,False
2,4,9.69105,False,18.35203,4964.99268,False
4,9,9.81701,False,39.00096,6405.54883,False
2,17,9.92104,False,24.49969,6513.67285,False
5,29,10.00209,False,45.17267,7102.67383,False
3,20,10.23314,False,35.04502,7370.30615,False
4,0,10.31648,False,37.56703,5633.02490,False
2,5,10.66283,False,17.41040,4574.83301,False
2,2,10.72471,False,24.67356,7173.41553,False
5,7,10.77488,False,56.19570,7314.13477,False
4,7,10.78944,False,40.01340,5644.47852,False
1,26,10.96382,False,35.37511,5821.00977,False
2,38,10.99092,False,39.70523,5158.56445,False
5,19,10.99484,False,32.16201,4533.79248,False
2,9,10.99485,False,34.84520,7441.51270,False
4,36,10.99707,False,54.26179,6957.92871,False
1,6,11.03062,False,25.69142,5991.62061,False
5,1,11.03688,False,48.13929,7391.37451,False
4,28,11.04268,False,21.95196,4368.70215,False
4,30,11.14565,False,32.03034,5876.41113,False
4,6,11.22161,False,45.93297,7000.02051,False
3,29,11.51320,False,21.16428,5102.40088,False
4,27,11.62950,False,36.02599,6837.52881,False
0,37,11.80316,False,40.95157,5849.49023,False
4,31,11.80420,False,36.23982,6127.47607,False
4,21,11.86176,False,24.07639,4423.70117,False
0,6,11.87251,False,30.98276,7179.72021,False
