dataset,episode,joint,n_frames,mean_abs_delta_deg,median_abs_delta_deg,p95_abs_delta_deg,max_abs_delta_deg,would_clamp_threshold_deg,frac_would_clamp
v2_clean,0,shoulder_pan,23,0.17582,0.17582,0.17582,0.17582,4.58000,0.00000
v2_clean,0,shoulder_lift,23,0.62303,0.26374,2.54066,3.51649,5.16000,0.00000
v2_clean,0,elbow_flex,23,2.03536,1.80220,3.22638,4.00000,5.73000,0.00000
v2_clean,0,wrist_flex,23,1.18681,1.18681,1.18681,1.18681,4.01000,0.00000
v2_clean,0,wrist_roll,23,0.26756,0.26374,0.26374,0.35165,1.15000,0.00000
v2_clean,0,gripper,23,0.16350,0.16350,0.16350,0.16350,9.17000,0.00000
v2_clean,1,shoulder_pan,34,0.57919,0.70330,0.70330,0.70330,4.58000,0.00000
v2_clean,1,shoulder_lift,34,0.54040,0.35165,1.21758,3.07692,5.16000,0.00000
v2_clean,1,elbow_flex,34,2.14609,1.97802,3.16044,4.35165,5.73000,0.00000
v2_clean,1,wrist_flex,34,0.23012,0.17582,0.48352,0.57143,4.01000,0.00000
v2_clean,1,wrist_roll,34,0.30252,0.35165,0.43956,0.43956,1.15000,0.00000
v2_clean,1,gripper,34,0.39780,0.36858,0.43955,0.43955,9.17000,0.00000
v2_clean,2,shoulder_pan,29,0.44259,0.43956,0.43956,0.52747,4.58000,0.00000
v2_clean,2,shoulder_lift,29,0.32740,0.08791,0.86154,1.75824,5.16000,0.00000
v2_clean,2,elbow_flex,29,2.31148,1.80220,4.21099,4.61539,5.73000,0.00000
v2_clean,2,wrist_flex,29,0.28950,0.30769,0.44835,0.48352,4.01000,0.00000
v2_clean,2,wrist_roll,29,0.53354,0.52747,0.61538,0.61538,1.15000,0.00000
v2_clean,2,gripper,29,0.48306,0.51292,0.51410,0.58389,9.17000,0.00000
v2_clean,3,shoulder_pan,25,0.53451,0.52747,0.59780,0.61538,4.58000,0.00000
v2_clean,3,shoulder_lift,25,0.54154,0.26373,2.23297,3.60440,5.16000,0.00000
v2_clean,3,elbow_flex,25,2.21363,1.89011,3.94725,4.61539,5.73000,0.00000
v2_clean,3,wrist_flex,25,0.90901,1.01099,1.01099,1.01099,4.01000,0.00000
v2_clean,3,wrist_roll,25,0.53099,0.52747,0.61538,0.61538,1.15000,0.00000
v2_clean,3,gripper,25,0.27427,0.30740,0.30740,0.30740,9.17000,0.00000
