dataset,category,key,value
v2_clean,per_joint_start_std_deg,shoulder_pan,0.84636
v2_clean,per_joint_start_range_deg,shoulder_pan,3.60440
v2_clean,per_joint_start_min_deg,shoulder_pan,-8.39560
v2_clean,per_joint_start_max_deg,shoulder_pan,-4.79121
v2_clean,per_joint_start_std_deg,shoulder_lift,1.18516
v2_clean,per_joint_start_range_deg,shoulder_lift,5.53846
v2_clean,per_joint_start_min_deg,shoulder_lift,-98.85714
v2_clean,per_joint_start_max_deg,shoulder_lift,-93.31868
v2_clean,per_joint_start_std_deg,elbow_flex,0.31885
v2_clean,per_joint_start_range_deg,elbow_flex,1.75824
v2_clean,per_joint_start_min_deg,elbow_flex,94.90110
v2_clean,per_joint_start_max_deg,elbow_flex,96.65934
v2_clean,per_joint_start_std_deg,wrist_flex,1.72878
v2_clean,per_joint_start_range_deg,wrist_flex,9.14286
v2_clean,per_joint_start_min_deg,wrist_flex,42.41758
v2_clean,per_joint_start_max_deg,wrist_flex,51.56044
v2_clean,per_joint_start_std_deg,wrist_roll,2.17585
v2_clean,per_joint_start_range_deg,wrist_roll,5.36264
v2_clean,per_joint_start_min_deg,wrist_roll,-6.46154
v2_clean,per_joint_start_max_deg,wrist_roll,-1.09890
v2_clean,per_joint_start_std_deg,gripper,0.67983
v2_clean,per_joint_start_range_deg,gripper,2.89855
v2_clean,per_joint_start_min_deg,gripper,0.48309
v2_clean,per_joint_start_max_deg,gripper,3.38164
v2_clean,start_frame0_pairwise_l2_deg,min,0.50643
v2_clean,start_frame0_pairwise_l2_deg,median,3.85126
v2_clean,start_frame0_pairwise_l2_deg,mean,4.13375
v2_clean,start_frame0_pairwise_l2_deg,p95,7.93277
v2_clean,start_frame0_pairwise_l2_deg,max,11.75452
v2_clean,start_frame0_pairwise_l2_deg,n_pairs,595
v3_clean,per_joint_start_std_deg,shoulder_pan,9.55742
v3_clean,per_joint_start_range_deg,shoulder_pan,31.82417
v3_clean,per_joint_start_min_deg,shoulder_pan,-23.25275
v3_clean,per_joint_start_max_deg,shoulder_pan,8.57143
v3_clean,per_joint_start_std_deg,shoulder_lift,3.45909
v3_clean,per_joint_start_range_deg,shoulder_lift,10.98901
v3_clean,per_joint_start_min_deg,shoulder_lift,-99.03297
v3_clean,per_joint_start_max_deg,shoulder_lift,-88.04395
v3_clean,per_joint_start_std_deg,elbow_flex,0.23908
v3_clean,per_joint_start_range_deg,elbow_flex,0.79121
v3_clean,per_joint_start_min_deg,elbow_flex,96.21978
v3_clean,per_joint_start_max_deg,elbow_flex,97.01099
v3_clean,per_joint_start_std_deg,wrist_flex,7.59272
v3_clean,per_joint_start_range_deg,wrist_flex,27.25275
v3_clean,per_joint_start_min_deg,wrist_flex,23.25275
v3_clean,per_joint_start_max_deg,wrist_flex,50.50549
v3_clean,per_joint_start_std_deg,wrist_roll,0.04144
v3_clean,per_joint_start_range_deg,wrist_roll,0.08791
v3_clean,per_joint_start_min_deg,wrist_roll,-6.46154
v3_clean,per_joint_start_max_deg,wrist_roll,-6.37363
v3_clean,per_joint_start_std_deg,gripper,0.38784
v3_clean,per_joint_start_range_deg,gripper,1.65631
v3_clean,per_joint_start_min_deg,gripper,0.41408
v3_clean,per_joint_start_max_deg,gripper,2.07039
v3_clean,start_frame0_pairwise_l2_deg,min,0.83686
v3_clean,start_frame0_pairwise_l2_deg,median,17.88314
v3_clean,start_frame0_pairwise_l2_deg,mean,16.43924
v3_clean,start_frame0_pairwise_l2_deg,p95,27.61728
v3_clean,start_frame0_pairwise_l2_deg,max,31.85179
v3_clean,start_frame0_pairwise_l2_deg,n_pairs,435
v4_train39,per_joint_start_std_deg,shoulder_pan,7.78287
v4_train39,per_joint_start_range_deg,shoulder_pan,33.05494
v4_train39,per_joint_start_min_deg,shoulder_pan,-20.35165
v4_train39,per_joint_start_max_deg,shoulder_pan,12.70330
v4_train39,per_joint_start_std_deg,shoulder_lift,4.94729
v4_train39,per_joint_start_range_deg,shoulder_lift,17.93407
v4_train39,per_joint_start_min_deg,shoulder_lift,-98.59341
v4_train39,per_joint_start_max_deg,shoulder_lift,-80.65934
v4_train39,per_joint_start_std_deg,elbow_flex,0.90179
v4_train39,per_joint_start_range_deg,elbow_flex,3.86813
v4_train39,per_joint_start_min_deg,elbow_flex,93.23077
v4_train39,per_joint_start_max_deg,elbow_flex,97.09890
v4_train39,per_joint_start_std_deg,wrist_flex,7.96329
v4_train39,per_joint_start_range_deg,wrist_flex,25.58242
v4_train39,per_joint_start_min_deg,wrist_flex,25.45055
v4_train39,per_joint_start_max_deg,wrist_flex,51.03297
v4_train39,per_joint_start_std_deg,wrist_roll,2.02051
v4_train39,per_joint_start_range_deg,wrist_roll,7.56044
v4_train39,per_joint_start_min_deg,wrist_roll,-5.93407
v4_train39,per_joint_start_max_deg,wrist_roll,1.62637
v4_train39,per_joint_start_std_deg,gripper,0.32892
v4_train39,per_joint_start_range_deg,gripper,1.10421
v4_train39,per_joint_start_min_deg,gripper,0.41408
v4_train39,per_joint_start_max_deg,gripper,1.51829
v4_train39,start_frame0_pairwise_l2_deg,min,0.36247
v4_train39,start_frame0_pairwise_l2_deg,median,16.64576
v4_train39,start_frame0_pairwise_l2_deg,mean,16.24352
v4_train39,start_frame0_pairwise_l2_deg,p95,27.65062
v4_train39,start_frame0_pairwise_l2_deg,max,37.28762
v4_train39,start_frame0_pairwise_l2_deg,n_pairs,741
v4_heldout6,per_joint_start_std_deg,shoulder_pan,4.41590
v4_heldout6,per_joint_start_range_deg,shoulder_pan,14.76923
v4_heldout6,per_joint_start_min_deg,shoulder_pan,-11.82418
v4_heldout6,per_joint_start_max_deg,shoulder_pan,2.94506
v4_heldout6,per_joint_start_std_deg,shoulder_lift,3.85367
v4_heldout6,per_joint_start_range_deg,shoulder_lift,10.28571
v4_heldout6,per_joint_start_min_deg,shoulder_lift,-98.85714
v4_heldout6,per_joint_start_max_deg,shoulder_lift,-88.57143
v4_heldout6,per_joint_start_std_deg,elbow_flex,0.56291
v4_heldout6,per_joint_start_range_deg,elbow_flex,1.75825
v4_heldout6,per_joint_start_min_deg,elbow_flex,95.07692
v4_heldout6,per_joint_start_max_deg,elbow_flex,96.83517
v4_heldout6,per_joint_start_std_deg,wrist_flex,5.24550
v4_heldout6,per_joint_start_range_deg,wrist_flex,13.97802
v4_heldout6,per_joint_start_min_deg,wrist_flex,36.17582
v4_heldout6,per_joint_start_max_deg,wrist_flex,50.15385
v4_heldout6,per_joint_start_std_deg,wrist_roll,0.38793
v4_heldout6,per_joint_start_range_deg,wrist_roll,1.05495
v4_heldout6,per_joint_start_min_deg,wrist_roll,-2.59341
v4_heldout6,per_joint_start_max_deg,wrist_roll,-1.53846
v4_heldout6,per_joint_start_std_deg,gripper,0.17557
v4_heldout6,per_joint_start_range_deg,gripper,0.48309
v4_heldout6,per_joint_start_min_deg,gripper,0.69013
v4_heldout6,per_joint_start_max_deg,gripper,1.17322
v4_heldout6,start_frame0_pairwise_l2_deg,min,3.27933
v4_heldout6,start_frame0_pairwise_l2_deg,median,11.95998
v4_heldout6,start_frame0_pairwise_l2_deg,mean,11.53987
v4_heldout6,start_frame0_pairwise_l2_deg,p95,16.34242
v4_heldout6,start_frame0_pairwise_l2_deg,max,17.39161
v4_heldout6,start_frame0_pairwise_l2_deg,n_pairs,15
