dataset,episode,length,state_first_movement_frame,state_first_movement_s,action_first_movement_frame,action_first_movement_s,static_length_frames,moving_length_frames,static_fraction,v4_wrist_variation_episode
v2_clean,0,329,23,0.76667,20,0.66667,23,306,0.06991,False
v2_clean,1,329,34,1.13333,31,1.03333,34,295,0.10334,False
v2_clean,2,328,29,0.96667,24,0.80000,29,299,0.08841,False
v2_clean,3,329,25,0.83333,21,0.70000,25,304,0.07599,False
v2_clean,4,329,28,0.93333,26,0.86667,28,301,0.08511,False
v2_clean,5,328,23,0.76667,21,0.70000,23,305,0.07012,False
v2_clean,6,329,24,0.80000,21,0.70000,24,305,0.07295,False
v2_clean,7,329,31,1.03333,28,0.93333,31,298,0.09422,False
v2_clean,8,329,25,0.83333,22,0.73333,25,304,0.07599,False
v2_clean,9,329,25,0.83333,21,0.70000,25,304,0.07599,False
v2_clean,10,329,32,1.06667,29,0.96667,32,297,0.09726,False
v2_clean,11,329,29,0.96667,23,0.76667,29,300,0.08815,False
v2_clean,12,328,30,1.00000,28,0.93333,30,298,0.09146,False
v2_clean,13,329,34,1.13333,31,1.03333,34,295,0.10334,False
v2_clean,14,329,25,0.83333,20,0.66667,25,304,0.07599,False
v2_clean,15,329,29,0.96667,25,0.83333,29,300,0.08815,False
v2_clean,16,329,29,0.96667,25,0.83333,29,300,0.08815,False
v2_clean,17,328,24,0.80000,20,0.66667,24,304,0.07317,False
v2_clean,18,328,24,0.80000,20,0.66667,24,304,0.07317,False
v2_clean,19,328,26,0.86667,23,0.76667,26,302,0.07927,False
v2_clean,20,329,24,0.80000,20,0.66667,24,305,0.07295,False
v2_clean,21,329,20,0.66667,16,0.53333,20,309,0.06079,False
v2_clean,22,329,24,0.80000,20,0.66667,24,305,0.07295,False
v2_clean,23,329,26,0.86667,23,0.76667,26,303,0.07903,False
v2_clean,24,329,15,0.50000,12,0.40000,15,314,0.04559,False
v2_clean,25,329,20,0.66667,16,0.53333,20,309,0.06079,False
v2_clean,26,328,23,0.76667,18,0.60000,23,305,0.07012,False
v2_clean,27,329,19,0.63333,15,0.50000,19,310,0.05775,False
v2_clean,28,329,17,0.56667,13,0.43333,17,312,0.05167,False
v2_clean,29,328,26,0.86667,22,0.73333,26,302,0.07927,False
v2_clean,30,329,20,0.66667,17,0.56667,20,309,0.06079,False
