dataset,episode,camera,parquet_frame_count,video_frame_count,frame_count_match,parquet_timestamp_max_deviation_from_ideal_grid_s,nominal_fps,n_exact_duplicate_frame_pairs,duplicate_frame_fraction,max_duplicate_run_length,n_big_gaps,effective_distinct_frames,effective_fps_estimate,distinct_frame_interval_median_s,distinct_frame_interval_p5_s,distinct_frame_interval_p95_s,distinct_frame_interval_max_s
v4_heldout6,0,observation.images.workspace,328,328,True,0.00000,30,20,0.06116,1,0,308,28.17073,0.03333,0.03333,0.06667,0.06667
v4_heldout6,1,observation.images.workspace,328,328,True,0.00000,30,17,0.05199,1,0,311,28.44512,0.03333,0.03333,0.06667,0.06667
v4_heldout6,2,observation.images.workspace,328,328,True,0.00000,30,22,0.06728,1,0,306,27.98780,0.03333,0.03333,0.06667,0.06667
v4_heldout6,3,observation.images.workspace,328,328,True,0.00000,30,21,0.06422,1,0,307,28.07927,0.03333,0.03333,0.06667,0.06667
v4_heldout6,4,observation.images.workspace,328,328,True,0.00000,30,21,0.06422,1,0,307,28.07927,0.03333,0.03333,0.06667,0.06667
v4_heldout6,5,observation.images.workspace,328,328,True,0.00000,30,10,0.03058,1,0,318,29.08537,0.03333,0.03333,0.03333,0.06667
v4_train39,0,observation.images.workspace,328,328,True,0.00000,30,20,0.06116,1,0,308,28.17073,0.03333,0.03333,0.06667,0.06667
v4_train39,1,observation.images.workspace,328,328,True,0.00000,30,21,0.06422,1,0,307,28.07927,0.03333,0.03333,0.06667,0.06667
v4_train39,2,observation.images.workspace,328,328,True,0.00000,30,15,0.04587,1,0,313,28.62805,0.03333,0.03333,0.03333,0.06667
v4_train39,3,observation.images.workspace,328,328,True,0.00000,30,23,0.07034,1,0,305,27.89634,0.03333,0.03333,0.06667,0.06667
v4_train39,4,observation.images.workspace,328,328,True,0.00000,30,18,0.05505,1,0,310,28.35366,0.03333,0.03333,0.06667,0.06667
v4_train39,5,observation.images.workspace,328,328,True,0.00000,30,14,0.04281,1,0,314,28.71951,0.03333,0.03333,0.03333,0.06667
v4_train39,6,observation.images.workspace,328,328,True,0.00000,30,22,0.06728,1,0,306,27.98780,0.03333,0.03333,0.06667,0.06667
v4_train39,7,observation.images.workspace,328,328,True,0.00000,30,18,0.05505,1,0,310,28.35366,0.03333,0.03333,0.06667,0.06667
v4_train39,8,observation.images.workspace,328,328,True,0.00000,30,23,0.07034,1,0,305,27.89634,0.03333,0.03333,0.06667,0.06667
v4_train39,9,observation.images.workspace,328,328,True,0.00000,30,25,0.07645,1,0,303,27.71341,0.03333,0.03333,0.06667,0.06667
v4_train39,10,observation.images.workspace,328,328,True,0.00000,30,23,0.07034,1,0,305,27.89634,0.03333,0.03333,0.06667,0.06667
v4_train39,11,observation.images.workspace,328,328,True,0.00000,30,21,0.06422,1,0,307,28.07927,0.03333,0.03333,0.06667,0.06667
v4_train39,12,observation.images.workspace,329,329,True,0.00000,30,27,0.08232,1,0,302,27.53799,0.03333,0.03333,0.06667,0.06667
v4_train39,13,observation.images.workspace,328,328,True,0.00000,30,23,0.07034,1,0,305,27.89634,0.03333,0.03333,0.06667,0.06667
v4_train39,14,observation.images.workspace,328,328,True,0.00000,30,21,0.06422,1,0,307,28.07927,0.03333,0.03333,0.06667,0.06667
v4_train39,15,observation.images.workspace,328,328,True,0.00000,30,25,0.07645,1,0,303,27.71341,0.03333,0.03333,0.06667,0.06667
v4_train39,16,observation.images.workspace,328,328,True,0.00000,30,27,0.08257,1,0,301,27.53049,0.03333,0.03333,0.06667,0.06667
v4_train39,17,observation.images.workspace,328,328,True,0.00000,30,30,0.09174,1,0,298,27.25610,0.03333,0.03333,0.06667,0.06667
v4_train39,18,observation.images.workspace,329,329,True,0.00000,30,31,0.09451,1,0,298,27.17325,0.03333,0.03333,0.06667,0.06667
v4_train39,19,observation.images.workspace,328,328,True,0.00000,30,28,0.08563,1,0,300,27.43902,0.03333,0.03333,0.06667,0.06667
v4_train39,20,observation.images.workspace,328,328,True,0.00000,30,26,0.07951,1,0,302,27.62195,0.03333,0.03333,0.06667,0.06667
v4_train39,21,observation.images.workspace,329,329,True,0.00000,30,20,0.06098,1,0,309,28.17629,0.03333,0.03333,0.06667,0.06667
v4_train39,22,observation.images.workspace,328,328,True,0.00000,30,30,0.09174,1,0,298,27.25610,0.03333,0.03333,0.06667,0.06667
v4_train39,23,observation.images.workspace,328,328,True,0.00000,30,21,0.06422,1,0,307,28.07927,0.03333,0.03333,0.06667,0.06667
v4_train39,24,observation.images.workspace,328,328,True,0.00000,30,22,0.06728,1,0,306,27.98780,0.03333,0.03333,0.06667,0.06667
v4_train39,25,observation.images.workspace,328,328,True,0.00000,30,14,0.04281,1,0,314,28.71951,0.03333,0.03333,0.03333,0.06667
v4_train39,26,observation.images.workspace,328,328,True,0.00000,30,23,0.07034,1,0,305,27.89634,0.03333,0.03333,0.06667,0.06667
v4_train39,27,observation.images.workspace,328,328,True,0.00000,30,24,0.07339,1,0,304,27.80488,0.03333,0.03333,0.06667,0.06667
v4_train39,28,observation.images.workspace,328,328,True,0.00000,30,24,0.07339,1,0,304,27.80488,0.03333,0.03333,0.06667,0.06667
v4_train39,29,observation.images.workspace,328,328,True,0.00000,30,23,0.07034,1,0,305,27.89634,0.03333,0.03333,0.06667,0.06667
v4_train39,30,observation.images.workspace,328,328,True,0.00000,30,18,0.05505,1,0,310,28.35366,0.03333,0.03333,0.06667,0.06667
v4_train39,31,observation.images.workspace,328,328,True,0.00000,30,16,0.04893,1,0,312,28.53659,0.03333,0.03333,0.04833,0.06667
v4_train39,32,observation.images.workspace,328,328,True,0.00000,30,17,0.05199,1,0,311,28.44512,0.03333,0.03333,0.06667,0.06667
v4_train39,33,observation.images.workspace,328,328,True,0.00000,30,23,0.07034,1,0,305,27.89634,0.03333,0.03333,0.06667,0.06667
v4_train39,34,observation.images.workspace,328,328,True,0.00000,30,17,0.05199,1,0,311,28.44512,0.03333,0.03333,0.06667,0.06667
v4_train39,35,observation.images.workspace,328,328,True,0.00000,30,18,0.05505,1,0,310,28.35366,0.03333,0.03333,0.06667,0.06667
v4_train39,36,observation.images.workspace,328,328,True,0.00000,30,16,0.04893,1,0,312,28.53659,0.03333,0.03333,0.04833,0.06667
v4_train39,37,observation.images.workspace,328,328,True,0.00000,30,15,0.04587,1,0,313,28.62805,0.03333,0.03333,0.03333,0.06667
v4_train39,38,observation.images.workspace,328,328,True,0.00000,30,11,0.03364,1,0,317,28.99390,0.03333,0.03333,0.03333,0.06667
v2_clean,0,observation.images.workspace,329,329,True,0.00000,30,23,0.07012,1,0,306,27.90274,0.03333,0.03333,0.06667,0.06667
v2_clean,1,observation.images.workspace,329,329,True,0.00000,30,21,0.06402,1,0,308,28.08511,0.03333,0.03333,0.06667,0.06667
v2_clean,2,observation.images.workspace,328,328,True,0.00000,30,15,0.04587,1,0,313,28.62805,0.03333,0.03333,0.03333,0.06667
v2_clean,3,observation.images.workspace,329,329,True,0.00000,30,32,0.09756,1,0,297,27.08207,0.03333,0.03333,0.06667,0.06667
v2_clean,4,observation.images.workspace,329,329,True,0.00000,30,21,0.06402,1,0,308,28.08511,0.03333,0.03333,0.06667,0.06667
v2_clean,5,observation.images.workspace,328,328,True,0.00000,30,17,0.05199,1,0,311,28.44512,0.03333,0.03333,0.06667,0.06667
v2_clean,6,observation.images.workspace,329,329,True,0.00000,30,14,0.04268,1,0,315,28.72340,0.03333,0.03333,0.03333,0.06667
v2_clean,7,observation.images.workspace,329,329,True,0.00000,30,21,0.06402,1,0,308,28.08511,0.03333,0.03333,0.06667,0.06667
v2_clean,8,observation.images.workspace,329,329,True,0.00000,30,21,0.06402,1,0,308,28.08511,0.03333,0.03333,0.06667,0.06667
v2_clean,9,observation.images.workspace,329,329,True,0.00000,30,22,0.06707,1,0,307,27.99392,0.03333,0.03333,0.06667,0.06667
v2_clean,10,observation.images.workspace,329,329,True,0.00000,30,15,0.04573,1,0,314,28.63222,0.03333,0.03333,0.03333,0.06667
v2_clean,11,observation.images.workspace,329,329,True,0.00000,30,18,0.05488,1,0,311,28.35866,0.03333,0.03333,0.06667,0.06667
v2_clean,12,observation.images.workspace,328,328,True,0.00000,30,15,0.04587,1,0,313,28.62805,0.03333,0.03333,0.03333,0.06667
v2_clean,13,observation.images.workspace,329,329,True,0.00000,30,16,0.04878,1,0,313,28.54103,0.03333,0.03333,0.04667,0.06667
v2_clean,14,observation.images.workspace,329,329,True,0.00000,30,16,0.04878,1,0,313,28.54103,0.03333,0.03333,0.04667,0.06667
v2_clean,15,observation.images.workspace,329,329,True,0.00000,30,19,0.05793,1,0,310,28.26748,0.03333,0.03333,0.06667,0.06667
v2_clean,16,observation.images.workspace,329,329,True,0.00000,30,24,0.07317,1,0,305,27.81155,0.03333,0.03333,0.06667,0.06667
v2_clean,17,observation.images.workspace,328,328,True,0.00000,30,23,0.07034,1,0,305,27.89634,0.03333,0.03333,0.06667,0.06667
v2_clean,18,observation.images.workspace,328,328,True,0.00000,30,20,0.06116,1,0,308,28.17073,0.03333,0.03333,0.06667,0.06667
v2_clean,19,observation.images.workspace,328,328,True,0.00000,30,19,0.05810,1,0,309,28.26220,0.03333,0.03333,0.06667,0.06667
v2_clean,20,observation.images.workspace,329,329,True,0.00000,30,15,0.04573,1,0,314,28.63222,0.03333,0.03333,0.03333,0.06667
v2_clean,21,observation.images.workspace,329,329,True,0.00000,30,18,0.05488,1,0,311,28.35866,0.03333,0.03333,0.06667,0.06667
v2_clean,22,observation.images.workspace,329,329,True,0.00000,30,22,0.06707,1,0,307,27.99392,0.03333,0.03333,0.06667,0.06667
v2_clean,23,observation.images.workspace,329,329,True,0.00000,30,22,0.06707,1,0,307,27.99392,0.03333,0.03333,0.06667,0.06667
v2_clean,24,observation.images.workspace,329,329,True,0.00000,30,20,0.06098,1,0,309,28.17629,0.03333,0.03333,0.06667,0.06667
v2_clean,25,observation.images.workspace,329,329,True,0.00000,30,17,0.05183,1,0,312,28.44985,0.03333,0.03333,0.06667,0.06667
v2_clean,26,observation.images.workspace,328,328,True,0.00000,30,18,0.05505,1,0,310,28.35366,0.03333,0.03333,0.06667,0.06667
v2_clean,27,observation.images.workspace,329,329,True,0.00000,30,25,0.07622,1,0,304,27.72036,0.03333,0.03333,0.06667,0.06667
v2_clean,28,observation.images.workspace,329,329,True,0.00000,30,16,0.04878,1,0,313,28.54103,0.03333,0.03333,0.04667,0.06667
v2_clean,29,observation.images.workspace,328,328,True,0.00000,30,15,0.04587,1,0,313,28.62805,0.03333,0.03333,0.03333,0.06667
v2_clean,30,observation.images.workspace,329,329,True,0.00000,30,15,0.04573,1,0,314,28.63222,0.03333,0.03333,0.03333,0.06667
v2_clean,31,observation.images.workspace,329,329,True,0.00000,30,22,0.06707,1,0,307,27.99392,0.03333,0.03333,0.06667,0.06667
v2_clean,32,observation.images.workspace,329,329,True,0.00000,30,26,0.07927,1,0,303,27.62918,0.03333,0.03333,0.06667,0.06667
v2_clean,33,observation.images.workspace,328,328,True,0.00000,30,28,0.08563,1,0,300,27.43902,0.03333,0.03333,0.06667,0.06667
v2_clean,34,observation.images.workspace,328,328,True,0.00000,30,25,0.07645,1,0,303,27.71341,0.03333,0.03333,0.06667,0.06667
v3_clean,0,observation.images.workspace,329,329,True,0.00000,30,27,0.08232,1,0,302,27.53799,0.03333,0.03333,0.06667,0.06667
v3_clean,1,observation.images.workspace,328,328,True,0.00000,30,26,0.07951,1,0,302,27.62195,0.03333,0.03333,0.06667,0.06667
v3_clean,2,observation.images.workspace,329,329,True,0.00000,30,31,0.09451,1,0,298,27.17325,0.03333,0.03333,0.06667,0.06667
v3_clean,3,observation.images.workspace,328,328,True,0.00000,30,28,0.08563,1,0,300,27.43902,0.03333,0.03333,0.06667,0.06667
v3_clean,4,observation.images.workspace,329,329,True,0.00000,30,49,0.14939,1,0,280,25.53191,0.03333,0.03333,0.06667,0.06667
v3_clean,5,observation.images.workspace,328,328,True,0.00000,30,19,0.05810,1,0,309,28.26220,0.03333,0.03333,0.06667,0.06667
v3_clean,6,observation.images.workspace,327,327,True,0.00000,30,22,0.06748,1,0,305,27.98165,0.03333,0.03333,0.06667,0.06667
v3_clean,7,observation.images.workspace,329,329,True,0.00000,30,37,0.11280,1,0,292,26.62614,0.03333,0.03333,0.06667,0.06667
v3_clean,8,observation.images.workspace,329,329,True,0.00000,30,19,0.05793,1,0,310,28.26748,0.03333,0.03333,0.06667,0.06667
v3_clean,9,observation.images.workspace,325,325,True,0.00000,30,46,0.14198,1,0,279,25.75385,0.03333,0.03333,0.06667,0.06667
v3_clean,10,observation.images.workspace,327,327,True,0.00000,30,29,0.08896,1,0,298,27.33945,0.03333,0.03333,0.06667,0.06667
v3_clean,11,observation.images.workspace,328,328,True,0.00000,30,25,0.07645,1,0,303,27.71341,0.03333,0.03333,0.06667,0.06667
v3_clean,12,observation.images.workspace,327,327,True,0.00000,30,23,0.07055,1,0,304,27.88991,0.03333,0.03333,0.06667,0.06667
v3_clean,13,observation.images.workspace,328,328,True,0.00000,30,28,0.08563,1,0,300,27.43902,0.03333,0.03333,0.06667,0.06667
v3_clean,14,observation.images.workspace,326,326,True,0.00000,30,41,0.12615,1,0,285,26.22699,0.03333,0.03333,0.06667,0.06667
v3_clean,15,observation.images.workspace,326,326,True,0.00000,30,38,0.11692,1,0,288,26.50307,0.03333,0.03333,0.06667,0.06667
v3_clean,16,observation.images.workspace,326,326,True,0.00000,30,13,0.04000,1,0,313,28.80368,0.03333,0.03333,0.03333,0.06667
v3_clean,17,observation.images.workspace,326,326,True,0.00000,30,17,0.05231,1,0,309,28.43558,0.03333,0.03333,0.06667,0.06667
v3_clean,18,observation.images.workspace,327,327,True,0.00000,30,40,0.12270,1,0,287,26.33028,0.03333,0.03333,0.06667,0.06667
v3_clean,19,observation.images.workspace,327,327,True,0.00000,30,24,0.07362,1,0,303,27.79817,0.03333,0.03333,0.06667,0.06667
v3_clean,20,observation.images.workspace,328,328,True,0.00000,30,37,0.11315,1,0,291,26.61585,0.03333,0.03333,0.06667,0.06667
v3_clean,21,observation.images.workspace,326,326,True,0.00000,30,31,0.09538,1,0,295,27.14724,0.03333,0.03333,0.06667,0.06667
v3_clean,22,observation.images.workspace,328,328,True,0.00000,30,28,0.08563,1,0,300,27.43902,0.03333,0.03333,0.06667,0.06667
v3_clean,23,observation.images.workspace,327,327,True,0.00000,30,28,0.08589,1,0,299,27.43119,0.03333,0.03333,0.06667,0.06667
v3_clean,24,observation.images.workspace,327,327,True,0.00000,30,24,0.07362,1,0,303,27.79817,0.03333,0.03333,0.06667,0.06667
v3_clean,25,observation.images.workspace,327,327,True,0.00000,30,44,0.13497,1,0,283,25.96330,0.03333,0.03333,0.06667,0.06667
v3_clean,26,observation.images.workspace,328,328,True,0.00000,30,27,0.08257,1,0,301,27.53049,0.03333,0.03333,0.06667,0.06667
v3_clean,27,observation.images.workspace,328,328,True,0.00000,30,11,0.03364,1,0,317,28.99390,0.03333,0.03333,0.03333,0.06667
v3_clean,28,observation.images.workspace,328,328,True,0.00000,30,26,0.07951,1,0,302,27.62195,0.03333,0.03333,0.06667,0.06667
v3_clean,29,observation.images.workspace,326,326,True,0.00000,30,25,0.07692,1,0,301,27.69939,0.03333,0.03333,0.06667,0.06667
