experiment,checkpoint_step,joint,delta_mean_deg,delta_std_deg,would_clamp_threshold_deg,clamp_rate,n_seeds,clamp_free_seed_count,l2_error_vs_gt_mean
A_v2_v3_uniform,2500,shoulder_pan,-4.864486063967695,2.2121389882928235,4.58,0.5,20,5,13.169631325915748
A_v2_v3_uniform,2500,shoulder_lift,-0.021445138113833195,7.781484962129642,5.16,0.55,20,5,13.169631325915748
A_v2_v3_uniform,2500,elbow_flex,1.6277961395599079,6.809303349701416,5.73,0.3,20,5,13.169631325915748
A_v2_v3_uniform,2500,wrist_flex,-2.0274729424780547,3.0313615981524165,4.01,0.25,20,5,13.169631325915748
A_v2_v3_uniform,2500,wrist_roll,0.4140732511059264,0.3294857563564884,1.15,0.05,20,5,13.169631325915748
A_v2_v3_uniform,2500,gripper,1.562281047302415,1.4020639723569266,9.17,0.0,20,5,13.169631325915748
A_v2_v3_uniform,5000,shoulder_pan,-2.5954894437894716,1.511605018008957,4.58,0.15,20,4,6.828855238347889
A_v2_v3_uniform,5000,shoulder_lift,5.263076727730893,4.128525858688536,5.16,0.45,20,4,6.828855238347889
A_v2_v3_uniform,5000,elbow_flex,-8.20830729977115,3.347225991067444,5.73,0.75,20,4,6.828855238347889
A_v2_v3_uniform,5000,wrist_flex,0.5189090079003634,1.5938879463896996,4.01,0.0,20,4,6.828855238347889
A_v2_v3_uniform,5000,wrist_roll,0.4266234859005431,0.22048314473108033,1.15,0.0,20,4,6.828855238347889
A_v2_v3_uniform,5000,gripper,0.3431612124025122,0.8522417607040715,9.17,0.0,20,4,6.828855238347889
A_v2_v3_uniform,7500,shoulder_pan,-0.2112710847959411,0.842475690996113,4.58,0.0,20,3,4.78002046581492
A_v2_v3_uniform,7500,shoulder_lift,4.512215750558042,3.024942198164449,5.16,0.35,20,3,4.78002046581492
A_v2_v3_uniform,7500,elbow_flex,-7.664412341275056,2.298314083597415,5.73,0.85,20,3,4.78002046581492
A_v2_v3_uniform,7500,wrist_flex,-0.704607456333035,1.0517631502119502,4.01,0.0,20,3,4.78002046581492
A_v2_v3_uniform,7500,wrist_roll,0.2318732007519225,0.14553147166548147,1.15,0.0,20,3,4.78002046581492
A_v2_v3_uniform,7500,gripper,0.2792016138612524,0.5908227281259589,9.17,0.0,20,3,4.78002046581492
A_v2_v3_uniform,10000,shoulder_pan,-0.4958320512876405,0.7645860803747021,4.58,0.0,20,5,4.1536061685141785
A_v2_v3_uniform,10000,shoulder_lift,3.830196326119565,2.7716309834165385,5.16,0.25,20,5,4.1536061685141785
A_v2_v3_uniform,10000,elbow_flex,-6.876480899014311,2.121249388030696,5.73,0.75,20,5,4.1536061685141785
A_v2_v3_uniform,10000,wrist_flex,-0.7285666161841092,1.0559216412149446,4.01,0.0,20,5,4.1536061685141785
A_v2_v3_uniform,10000,wrist_roll,0.21378817401089467,0.13142791763559808,1.15,0.0,20,5,4.1536061685141785
A_v2_v3_uniform,10000,gripper,-0.18843830923445057,0.5384754504579705,9.17,0.0,20,5,4.1536061685141785
B_v2_v3_reweight2_1,2500,shoulder_pan,-3.739084328661908,2.701150512155914,4.58,0.45,20,0,10.79258954366903
B_v2_v3_reweight2_1,2500,shoulder_lift,0.6054717472621434,6.609268798906424,5.16,0.4,20,0,10.79258954366903
B_v2_v3_reweight2_1,2500,elbow_flex,-8.92989467159732,5.481929781612213,5.73,0.75,20,0,10.79258954366903
B_v2_v3_reweight2_1,2500,wrist_flex,-0.7506447488135037,2.562148975919039,4.01,0.1,20,0,10.79258954366903
B_v2_v3_reweight2_1,2500,wrist_roll,0.4995534404293515,0.276564767128744,1.15,0.0,20,0,10.79258954366903
B_v2_v3_reweight2_1,2500,gripper,-0.8082159409940941,1.2930036829400806,9.17,0.0,20,0,10.79258954366903
B_v2_v3_reweight2_1,5000,shoulder_pan,1.2536866292848692,1.4271640969327446,4.58,0.0,20,6,5.635972109511743
B_v2_v3_reweight2_1,5000,shoulder_lift,5.2124446323939795,3.8134136887451917,5.16,0.4,20,6,5.635972109511743
B_v2_v3_reweight2_1,5000,elbow_flex,-6.286817584194975,3.2488874086874144,5.73,0.65,20,6,5.635972109511743
B_v2_v3_reweight2_1,5000,wrist_flex,-0.15332438290774206,1.5296992511654048,4.01,0.05,20,6,5.635972109511743
B_v2_v3_reweight2_1,5000,wrist_roll,0.4340412839428405,0.15427632778881914,1.15,0.0,20,6,5.635972109511743
B_v2_v3_reweight2_1,5000,gripper,1.2206874479829568,0.8062011228507486,9.17,0.0,20,6,5.635972109511743
B_v2_v3_reweight2_1,7500,shoulder_pan,-0.05596598530863641,0.9205249328658512,4.58,0.0,20,7,3.569023103017136
B_v2_v3_reweight2_1,7500,shoulder_lift,3.9329539707728856,2.5660877145888947,5.16,0.25,20,7,3.569023103017136
B_v2_v3_reweight2_1,7500,elbow_flex,-6.50255626217349,1.8257191365678973,5.73,0.65,20,7,3.569023103017136
B_v2_v3_reweight2_1,7500,wrist_flex,-0.22660757840334753,0.8817783200133078,4.01,0.0,20,7,3.569023103017136
B_v2_v3_reweight2_1,7500,wrist_roll,0.37493004641690053,0.11843063783341481,1.15,0.0,20,7,3.569023103017136
B_v2_v3_reweight2_1,7500,gripper,0.017363654571701748,0.41590330493487165,9.17,0.0,20,7,3.569023103017136
B_v2_v3_reweight2_1,10000,shoulder_pan,-0.3153107538328063,0.8219285896392317,4.58,0.0,20,8,3.3128641482859416
B_v2_v3_reweight2_1,10000,shoulder_lift,3.9601878574916354,2.57271491209972,5.16,0.25,20,8,3.3128641482859416
B_v2_v3_reweight2_1,10000,elbow_flex,-6.114929995693998,1.8393014401680103,5.73,0.6,20,8,3.3128641482859416
B_v2_v3_reweight2_1,10000,wrist_flex,-0.15142657101809362,0.8713274745562084,4.01,0.0,20,8,3.3128641482859416
B_v2_v3_reweight2_1,10000,wrist_roll,0.3234564765469054,0.11673636897474249,1.15,0.0,20,8,3.3128641482859416
B_v2_v3_reweight2_1,10000,gripper,-0.2625747571409448,0.42022144493346736,9.17,0.0,20,8,3.3128641482859416
C_v2_v3_reweight3_1,2500,shoulder_pan,-3.525744904528607,2.2440299646037776,4.58,0.35,20,0,10.154245700204182
C_v2_v3_reweight3_1,2500,shoulder_lift,7.211004202706479,5.962037176014583,5.16,0.65,20,0,10.154245700204182
C_v2_v3_reweight3_1,2500,elbow_flex,-10.3277531005524,4.8580388009668605,5.73,0.9,20,0,10.154245700204182
C_v2_v3_reweight3_1,2500,wrist_flex,-0.5532871896094023,1.882118315530145,4.01,0.05,20,0,10.154245700204182
C_v2_v3_reweight3_1,2500,wrist_roll,0.3808450683132628,0.25482268724495455,1.15,0.0,20,0,10.154245700204182
C_v2_v3_reweight3_1,2500,gripper,-0.24719165663130127,1.2345234656468977,9.17,0.0,20,0,10.154245700204182
C_v2_v3_reweight3_1,5000,shoulder_pan,-0.2823592081174744,1.631036605520042,4.58,0.0,20,11,7.3440012538331505
C_v2_v3_reweight3_1,5000,shoulder_lift,-0.15610357012066914,4.395045156712282,5.16,0.2,20,11,7.3440012538331505
C_v2_v3_reweight3_1,5000,elbow_flex,-3.498259005703764,3.4039652896313255,5.73,0.25,20,11,7.3440012538331505
C_v2_v3_reweight3_1,5000,wrist_flex,-3.0451826745337187,1.5134206777250387,4.01,0.25,20,11,7.3440012538331505
C_v2_v3_reweight3_1,5000,wrist_roll,0.026412509299896136,0.20202983926096382,1.15,0.0,20,11,7.3440012538331505
C_v2_v3_reweight3_1,5000,gripper,-0.6434128175199731,0.5393571604538171,9.17,0.0,20,11,7.3440012538331505
C_v2_v3_reweight3_1,7500,shoulder_pan,-1.2366918459043397,0.8185686624979289,4.58,0.0,20,3,4.9125534815700975
C_v2_v3_reweight3_1,7500,shoulder_lift,4.181858389718198,2.746062198051698,5.16,0.3,20,3,4.9125534815700975
