seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-4.058356,8.005212,-18.427373,0.713722,0.176703,3.422738,2,1,"shoulder_lift;elbow_flex",15.650197
1,-2.849617,19.941819,-8.598302,-1.525623,0.847606,3.681740,2,1,"shoulder_lift;elbow_flex",17.580336
2,-0.540784,-0.354339,-0.405064,-0.395031,0.728945,4.730678,0,0,"",7.645948
3,-0.875127,2.388742,-9.636723,2.476246,0.181661,4.570613,1,1,"elbow_flex",8.108916
4,-6.486028,3.791711,-6.365758,-0.542038,1.760070,7.073964,3,1,"shoulder_pan;elbow_flex;wrist_roll",9.803567
5,0.142390,8.353982,-5.033879,2.190178,1.185545,2.082253,2,1,"shoulder_lift;wrist_roll",6.528923
6,-0.755818,1.778184,-5.472462,1.163700,-0.610303,3.604888,0,0,"",5.068846
7,-2.403117,10.469903,-8.447995,1.033417,-0.256231,2.151267,2,1,"shoulder_lift;elbow_flex",8.857370
8,-3.389002,3.168130,-0.198895,0.274300,1.816420,4.378779,1,1,"wrist_roll",7.278398
9,-1.003827,2.613816,-6.074689,0.298588,0.351836,2.649823,1,1,"elbow_flex",3.856064
10,-1.592547,11.699319,-7.526654,-1.382160,0.307225,4.971070,2,1,"shoulder_lift;elbow_flex",10.305202
11,-0.169034,0.959314,-4.900021,0.248345,1.286719,4.500813,1,1,"wrist_roll",5.852586
12,-3.872493,-11.343352,-0.172711,-2.276184,-1.385998,7.870422,2,1,"shoulder_lift;wrist_roll",17.914568
13,3.674266,3.741342,-3.060330,1.026215,1.418683,3.922645,1,1,"wrist_roll",6.785321
14,-4.462152,5.096513,-7.233067,-2.136597,0.472012,4.432254,1,1,"elbow_flex",6.996495
15,-4.010224,12.354463,-8.562955,-2.373527,0.921653,3.080367,2,1,"shoulder_lift;elbow_flex",10.974624
16,-5.824791,14.471658,-12.017278,2.900761,1.139069,5.833301,3,1,"shoulder_pan;shoulder_lift;elbow_flex",16.110705
17,-4.009994,4.912271,0.530681,-3.426662,0.783826,2.785371,0,0,"",7.321204
18,-1.347341,3.112588,-4.207982,-0.534351,-2.262245,5.856934,1,1,"wrist_roll",6.749353
19,0.500127,2.307374,5.502330,-6.529690,2.726495,8.189248,2,1,"wrist_flex;wrist_roll",14.556354
