experiment,checkpoint_step,train_loss,wall_time_min,historical_test10_mae,v4_heldout6_mae,in_sample_mae,historical_gap
A_v2_v3_uniform,2500,0.124,16.15,4.71568,,,
B_v2_v3_reweight2_1,2500,0.123,15.8,4.867215,,4.906244,-0.0390290000000002
C_v2_v3_reweight3_1,2500,0.112,15.82,4.710171,,4.692042,0.01812900000000006
E_v2_v3_reweight2_1_early,2500,0.121,15.78,5.000373,,4.856394,0.14397899999999986
D_v4_standalone,2500,0.115,15.72,5.048618,5.040326,,
F_v3_v4_uniform,2500,0.143,15.77,5.063473,5.160494,4.427488,0.6359849999999998
G_v3_v4_reweight2_1_THIS,2500,0.129,15.72,5.479013,5.653295,5.372647,0.1063660000000004
A_v2_v3_uniform,5000,0.082,32.95,4.34042,,,
B_v2_v3_reweight2_1,5000,0.08,32.25,4.108792,,3.838518,0.2702740000000001
C_v2_v3_reweight3_1,5000,0.073,32.25,3.63416,,3.503906,0.13025399999999987
E_v2_v3_reweight2_1_early,5000,0.079,32.27,4.113543,,3.7507,0.3628429999999998
D_v4_standalone,5000,0.07,32.17,4.566161,4.193977,,
F_v3_v4_uniform,5000,0.083,32.2,4.299141,4.217883,3.228522,1.0706189999999998
G_v3_v4_reweight2_1_THIS,5000,0.083,32.12,4.209811,4.414476,3.670475,0.539336
A_v2_v3_uniform,7500,0.066,49.85,3.412268,,,
B_v2_v3_reweight2_1,7500,0.059,48.7,3.587668,,3.040018,0.54765
C_v2_v3_reweight3_1,7500,0.06,48.7,3.567275,,3.076241,0.49103399999999997
E_v2_v3_reweight2_1_early,7500,0.058,48.63,3.608191,,3.032883,0.5753080000000002
D_v4_standalone,7500,0.044,48.62,4.128169,3.603359,,
F_v3_v4_uniform,7500,0.059,48.63,3.779063,3.709362,2.789495,0.9895679999999998
G_v3_v4_reweight2_1_THIS,7500,0.058,48.97,3.986326,3.589685,2.741154,1.2451720000000002
A_v2_v3_uniform,10000,0.053,66.63,3.639608,,,
B_v2_v3_reweight2_1,10000,0.054,65.17,3.527781,,2.896945,0.630836
C_v2_v3_reweight3_1,10000,0.049,65.13,3.67932,,3.012291,0.6670290000000003
E_v2_v3_reweight2_1_early,10000,0.053,65.13,3.541337,,2.884956,0.6563810000000001
D_v4_standalone,10000,0.041,65.08,4.06433,3.563394,,
F_v3_v4_uniform,10000,0.053,65.1,3.780169,3.523607,2.615812,1.1643569999999999
G_v3_v4_reweight2_1_THIS,10000,0.054,65.72,3.843128,3.609178,2.700982,1.1421459999999999
