seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-0.654029,1.461030,-12.166013,-0.772892,0.727861,2.222633,1,1,"elbow_flex",8.443372
1,0.076728,10.269868,-9.442281,-1.987881,0.885109,1.569262,2,1,"shoulder_lift;elbow_flex",8.747910
2,1.600413,-1.733512,-3.740018,-0.968170,0.981754,1.656454,0,0,"",6.195267
3,1.789592,0.301751,-7.964162,0.718639,0.772912,1.957511,1,1,"elbow_flex",6.186792
4,-2.363944,0.115152,-5.759580,-1.186439,1.261603,2.818644,2,1,"elbow_flex;wrist_roll",5.270551
5,1.411124,3.464265,-6.982388,0.848370,0.961323,1.269513,1,1,"elbow_flex",4.273532
6,1.052581,-0.625388,-6.470914,0.570217,0.386625,1.450668,1,1,"elbow_flex",5.535739
7,0.196630,4.268113,-7.863225,-0.187122,0.687484,0.930203,1,1,"elbow_flex",4.005236
8,-0.126962,0.818307,-3.497113,-0.318085,1.502771,1.847351,1,1,"wrist_roll",4.017198
9,1.232570,-1.033728,-5.304898,-1.080776,0.651539,1.231602,0,0,"",5.306884
10,0.009858,4.838487,-7.898015,-1.423641,0.772760,2.090921,1,1,"elbow_flex",4.579182
11,0.757966,-0.961463,-5.876912,-0.401447,1.254105,2.122787,2,1,"elbow_flex;wrist_roll",5.695298
12,0.983670,-6.540458,-1.832929,-1.974743,0.366894,2.774790,1,1,"shoulder_lift",11.030493
13,2.775239,0.703202,-5.333913,-0.023243,1.100716,1.703796,0,0,"",5.234525
14,0.133348,0.566140,-5.617467,-2.196979,0.795290,1.965357,0,0,"",4.250531
15,-0.878018,5.952951,-9.536321,-1.579819,1.043960,1.564789,2,1,"shoulder_lift;elbow_flex",6.076835
16,-1.890599,6.605981,-11.193753,1.189060,0.885649,2.292575,2,1,"shoulder_lift;elbow_flex",8.346570
17,-0.994819,0.860994,-2.487180,-2.721958,0.810040,1.044345,0,0,"",4.021746
18,1.577010,-0.668403,-5.348149,-1.399902,0.045200,1.879490,0,0,"",5.366752
19,2.657313,-1.689223,0.872783,-5.105587,1.876299,2.266651,2,1,"wrist_flex;wrist_roll",9.640935
