experiment,checkpoint_step,joint,delta_mean_deg,delta_std_deg,would_clamp_threshold_deg,clamp_rate,n_seeds,clamp_free_seed_count,l2_error_vs_gt_mean
V2_7500_baseline,7500,shoulder_pan,-0.966823758135785,0.8663931641498636,4.58,0.0,20,4,4.616692122627906
V2_7500_baseline,7500,shoulder_lift,5.1273517063685885,3.0132877030260365,5.16,0.45,20,4,4.616692122627906
V2_7500_baseline,7500,elbow_flex,-7.08021777645572,2.303187076858453,5.73,0.75,20,4,4.616692122627906
V2_7500_baseline,7500,wrist_flex,0.6643664663964571,0.9319978307885665,4.01,0.0,20,4,4.616692122627906
V2_7500_baseline,7500,wrist_roll,0.42446896872677603,0.15732250029480144,1.15,0.0,20,4,4.616692122627906
V2_7500_baseline,7500,gripper,0.6804021467744604,0.5650696262976422,9.17,0.0,20,4,4.616692122627906
combined65_uniform_7500,7500,shoulder_pan,-0.2112710847959411,0.842475690996113,4.58,0.0,20,3,4.78002046581492
combined65_uniform_7500,7500,shoulder_lift,4.512215750558042,3.024942198164449,5.16,0.35,20,3,4.78002046581492
combined65_uniform_7500,7500,elbow_flex,-7.664412341275056,2.298314083597415,5.73,0.85,20,3,4.78002046581492
combined65_uniform_7500,7500,wrist_flex,-0.704607456333035,1.0517631502119502,4.01,0.0,20,3,4.78002046581492
combined65_uniform_7500,7500,wrist_roll,0.2318732007519225,0.14553147166548147,1.15,0.0,20,3,4.78002046581492
combined65_uniform_7500,7500,gripper,0.2792016138612524,0.5908227281259589,9.17,0.0,20,3,4.78002046581492
combined65_uniform_10000,10000,shoulder_pan,-0.4958320512876405,0.7645860803747021,4.58,0.0,20,5,4.1536061685141785
combined65_uniform_10000,10000,shoulder_lift,3.830196326119565,2.7716309834165385,5.16,0.25,20,5,4.1536061685141785
combined65_uniform_10000,10000,elbow_flex,-6.876480899014311,2.121249388030696,5.73,0.75,20,5,4.1536061685141785
combined65_uniform_10000,10000,wrist_flex,-0.7285666161841092,1.0559216412149446,4.01,0.0,20,5,4.1536061685141785
combined65_uniform_10000,10000,wrist_roll,0.21378817401089467,0.13142791763559808,1.15,0.0,20,5,4.1536061685141785
combined65_uniform_10000,10000,gripper,-0.18843830923445057,0.5384754504579705,9.17,0.0,20,5,4.1536061685141785
reinforcement30_only_7500,7500,shoulder_pan,-1.3294775858030214,0.7418800979859178,4.58,0.0,20,8,4.57686117827801
reinforcement30_only_7500,7500,shoulder_lift,1.6050128391810887,2.7861332804140755,5.16,0.1,20,8,4.57686117827801
