seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-2.818259,5.362245,-11.912297,-1.630321,-0.008089,-0.254350,2,1,"shoulder_lift;elbow_flex",8.002059
1,-2.166992,16.444947,-10.099171,-2.622154,0.397632,-0.211944,2,1,"shoulder_lift;elbow_flex",14.274741
2,-0.385583,2.522653,-2.960881,-2.425056,0.375029,0.284087,0,0,"",2.361510
3,-0.253274,4.339181,-8.134633,-0.769813,0.016728,0.345820,1,1,"elbow_flex",3.897990
4,-2.980740,4.731912,-6.852254,-2.499927,0.758275,1.572201,1,1,"elbow_flex",4.331884
5,-0.794888,9.160882,-7.487897,-0.665451,0.465385,-0.182599,2,1,"shoulder_lift;elbow_flex",6.444781
6,-0.705735,4.156922,-6.171819,-0.864666,-0.357728,-0.209823,1,1,"elbow_flex",1.923134
7,-1.709371,8.255441,-7.697919,-1.038185,-0.070800,-0.499544,2,1,"shoulder_lift;elbow_flex",5.841805
8,-2.421462,4.136094,-2.884229,-1.638119,0.826129,0.410618,0,0,"",2.690534
9,-0.799220,2.917855,-5.686070,-2.044308,-0.071423,-0.541982,0,0,"",1.691830
10,-1.736167,10.712457,-8.870297,-2.247318,-0.001495,0.733056,2,1,"shoulder_lift;elbow_flex",8.664782
11,-0.706895,4.295289,-6.724568,-1.946758,0.597147,0.632130,1,1,"elbow_flex",2.803557
12,-1.037347,-4.071006,-2.725613,-3.759926,-0.834865,2.025116,0,0,"",8.625909
13,0.732989,5.560006,-5.224507,-1.504322,0.727936,0.096194,1,1,"shoulder_lift",2.769440
14,-2.029151,5.896783,-6.967763,-2.859119,-0.080406,0.484231,2,1,"shoulder_lift;elbow_flex",4.208842
15,-2.906824,11.875772,-10.059628,-2.488731,0.288858,-0.183223,2,1,"shoulder_lift;elbow_flex",10.408409
16,-2.609977,9.362710,-9.479970,-0.415741,0.298802,1.329158,2,1,"shoulder_lift;elbow_flex",8.167106
17,-2.839009,6.316003,-3.367177,-3.631489,0.033383,-0.205339,1,1,"shoulder_lift",4.472283
18,0.456140,4.622911,-5.852856,-2.371456,-1.068897,0.993494,1,1,"elbow_flex",3.074080
19,0.553819,4.843949,0.004558,-6.225017,1.404555,1.923246,2,1,"wrist_flex;wrist_roll",7.514998
