row_type,checkpoint_step,episode,action_mae,action_mae_per_joint,would_pass,would_clamp,would_reject,n_frames
checkpoint_level,2500,,5.040326,"{""shoulder_pan"": 5.261719, ""shoulder_lift"": 7.417791, ""elbow_flex"": 7.895321, ""wrist_flex"": 2.950232, ""wrist_roll"": 2.504607, ""gripper"": 4.212286}",79,1584,305,1968
episode_level,2500,0,6.018262355691057,"{""shoulder_pan"": 6.991376262195121, ""shoulder_lift"": 9.526097371951218, ""elbow_flex"": 9.614792899390244, ""wrist_flex"": 1.9241843902439024, ""wrist_roll"": 1.8435472591463413, ""gripper"": 6.209575951219512}",,,,328
episode_level,2500,1,4.570788411077236,"{""shoulder_pan"": 5.276759222560975, ""shoulder_lift"": 7.1754735213414635, ""elbow_flex"": 7.031340643292683, ""wrist_flex"": 3.636345945121951, ""wrist_roll"": 1.6023892926829266, ""gripper"": 2.702421841463415}",,,,328
episode_level,2500,2,4.8604553043699195,"{""shoulder_pan"": 5.202120862804879, ""shoulder_lift"": 8.513006024390243, ""elbow_flex"": 7.822643524390244, ""wrist_flex"": 3.0064335030487808, ""wrist_roll"": 1.4432383597560976, ""gripper"": 3.1752895518292683}",,,,328
episode_level,2500,3,4.0084861265243905,"{""shoulder_pan"": 4.306294484756098, ""shoulder_lift"": 5.122506030487805, ""elbow_flex"": 6.603414664634146, ""wrist_flex"": 1.9829463597560975, ""wrist_roll"": 1.3646949146341463, ""gripper"": 4.671060304878049}",,,,328
episode_level,2500,4,6.113455717479675,"{""shoulder_pan"": 6.011207762195122, ""shoulder_lift"": 8.111684088414634, ""elbow_flex"": 9.286818057926828, ""wrist_flex"": 3.448242731707317, ""wrist_roll"": 4.471628707317073, ""gripper"": 5.351152957317073}",,,,328
episode_level,2500,5,4.6705083206300815,"{""shoulder_pan"": 3.7825584603658537, ""shoulder_lift"": 6.057976990853659, ""elbow_flex"": 7.012917003048781, ""wrist_flex"": 3.703240844512195, ""wrist_roll"": 4.302142826219512, ""gripper"": 3.1642137987804877}",,,,328
checkpoint_level,5000,,4.193977,"{""shoulder_pan"": 3.45654, ""shoulder_lift"": 6.913927, ""elbow_flex"": 6.377319, ""wrist_flex"": 2.631235, ""wrist_roll"": 1.273376, ""gripper"": 4.511465}",270,1557,141,1968
episode_level,5000,0,4.702061362296748,"{""shoulder_pan"": 3.651464295731707, ""shoulder_lift"": 8.827839347560975, ""elbow_flex"": 7.671579118902439, ""wrist_flex"": 1.7453777896341465, ""wrist_roll"": 0.9444956920731709, ""gripper"": 5.371611929878049}",,,,328
episode_level,5000,1,4.4387744161585365,"{""shoulder_pan"": 4.447690045731708, ""shoulder_lift"": 7.404642219512195, ""elbow_flex"": 7.186995137195122, ""wrist_flex"": 3.050384777439025, ""wrist_roll"": 0.8313403384146341, ""gripper"": 3.711593978658537}",,,,328
