experiment,checkpoint_step,train_loss,wall_time_since_start_min,heldout_offline_action_mae,in_sample_train_action_mae,train_heldout_gap,heldout_shoulder_lift_mae,heldout_elbow_flex_mae
v2_baseline,2500,,,5.387455,,,7.644483,9.491504
combined65_baseline,2500,0.124,16.15,4.71568,,,7.465131,6.873409
combined65_early_weight_v1,2500,0.123,15.63,4.653376,,,7.417807,6.758769
reinforcement30_only_v1,2500,0.164,15.8,5.474265,4.226688,1.2475769999999997,8.515669,9.120265
v2_baseline,5000,,,4.290886,,,6.079775,7.121912
combined65_baseline,5000,0.082,32.95,4.34042,,,5.84593,7.207758
combined65_early_weight_v1,5000,0.082,32.0,4.429281,,,6.025999,7.351407
reinforcement30_only_v1,5000,0.11,32.45,4.1449,2.754444,1.390456,6.293506,6.17283
v2_baseline,7500,,,3.984113,,,5.728544,6.268239
combined65_baseline,7500,0.066,49.85,3.412268,,,4.70044,5.30516
combined65_early_weight_v1,7500,0.064,48.57,3.402267,,,4.612122,5.259567
reinforcement30_only_v1,7500,0.072,49.03,3.88119,2.249177,1.6320130000000002,5.669902,5.84761
v2_baseline,10000,,,4.220978,,,5.986269,7.188133
combined65_baseline,10000,0.053,66.63,3.639608,,,5.051795,6.009518
combined65_early_weight_v1,10000,0.052,64.85,3.61082,,,4.984619,5.894601
reinforcement30_only_v1,10000,0.07,65.67,3.976039,2.223431,1.752608,5.873113,6.127633
