seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-8.536554,3.036309,-22.304013,-0.568668,0.157030,0.972535,2,1,"shoulder_pan;elbow_flex",20.062293
1,-6.847486,18.841653,-14.374799,-2.960712,0.199697,0.529164,3,1,"shoulder_pan;shoulder_lift;elbow_flex",19.552030
2,-4.459064,-1.785926,-5.649915,-2.467968,0.164360,1.185876,0,0,"",7.707648
3,-3.731117,-1.363913,-14.337460,0.423821,0.146567,0.605746,1,1,"elbow_flex",12.062811
4,-12.502028,3.841775,-13.504193,-2.760307,0.256416,4.716335,2,1,"shoulder_pan;elbow_flex",16.605326
5,-3.250424,6.461496,-7.488828,1.242069,0.207324,-1.151595,2,1,"shoulder_lift;elbow_flex",5.959944
6,-3.349911,-1.899405,-6.051801,-1.165935,0.043400,-0.280223,1,1,"elbow_flex",6.945637
7,-5.201794,7.572671,-11.072430,-0.174473,0.101222,-1.327913,3,1,"shoulder_pan;shoulder_lift;elbow_flex",9.549092
8,-9.190166,4.527734,-7.953839,-1.517559,0.238769,1.438530,2,1,"shoulder_pan;elbow_flex",10.322438
9,-5.035326,-2.691214,-8.520017,-1.582630,0.150107,-0.625642,2,1,"shoulder_pan;elbow_flex",9.363699
10,-5.178271,9.292520,-11.134747,-2.960369,0.154148,1.455242,3,1,"shoulder_pan;shoulder_lift;elbow_flex",10.628095
11,-6.190570,0.362298,-13.889920,-1.711189,0.236002,2.415228,2,1,"shoulder_pan;elbow_flex",12.356904
12,-7.346450,-15.034263,-1.640042,-4.625660,0.029682,2.638033,3,1,"shoulder_pan;shoulder_lift;wrist_flex",20.997632
13,-0.308887,1.869424,-7.571210,-0.833801,0.231856,0.920966,1,1,"elbow_flex",4.030821
14,-7.780787,2.115243,-12.442487,-3.967296,0.166478,1.476816,2,1,"shoulder_pan;elbow_flex",12.030888
15,-9.038086,12.577172,-14.876736,-3.368374,0.211221,0.936308,3,1,"shoulder_pan;shoulder_lift;elbow_flex",16.783880
16,-10.710655,12.934213,-16.819737,2.219170,0.215830,2.601508,3,1,"shoulder_pan;shoulder_lift;elbow_flex",19.487529
17,-8.114362,4.385080,-3.266522,-5.535435,0.162055,-0.718282,2,1,"shoulder_pan;wrist_flex",9.570061
18,-2.574979,-1.556830,-4.463803,-3.108112,-0.061253,-0.252288,0,0,"",6.372821
19,-3.331764,2.357705,2.207400,-10.138309,0.274729,3.199829,1,1,"wrist_flex",12.358556
