episode,frame_t,abs_dataset_index,source_timestamp_s,chunk0_equals_raw_action_t,all_offsets_exact_match,all_offsets_nn_confirms_expected_frame,any_pad_flag_mismatch,state_t.shoulder_pan,raw_action_t.shoulder_pan,chunk0.shoulder_pan,chunk0_minus_state.shoulder_pan,state_t.shoulder_lift,raw_action_t.shoulder_lift,chunk0.shoulder_lift,chunk0_minus_state.shoulder_lift,state_t.elbow_flex,raw_action_t.elbow_flex,chunk0.elbow_flex,chunk0_minus_state.elbow_flex,state_t.wrist_flex,raw_action_t.wrist_flex,chunk0.wrist_flex,chunk0_minus_state.wrist_flex,state_t.wrist_roll,raw_action_t.wrist_roll,chunk0.wrist_roll,chunk0_minus_state.wrist_roll,state_t.gripper,raw_action_t.gripper,chunk0.gripper,chunk0_minus_state.gripper
0,0,0,0.0000,True,True,True,False,-7.3407,-7.1648,-7.1648,+0.1758,-95.4286,-95.1648,-95.1648,+0.2637,96.3956,94.5934,94.5934,-1.8022,45.4945,44.3077,44.3077,-1.1868,-1.4505,-1.1868,-1.1868,+0.2637,0.7591,0.9226,0.9226,+0.1635
0,5,5,0.1667,True,True,True,False,-7.3407,-7.1648,-7.1648,+0.1758,-95.4286,-95.1648,-95.1648,+0.2637,96.3956,94.5934,94.5934,-1.8022,45.4945,44.3077,44.3077,-1.1868,-1.4505,-1.1868,-1.1868,+0.2637,0.7591,0.9226,0.9226,+0.1635
0,10,10,0.3333,True,True,True,False,-7.3407,-7.1648,-7.1648,+0.1758,-95.4286,-95.1648,-95.1648,+0.2637,96.3956,94.5934,94.5934,-1.8022,45.4945,44.3077,44.3077,-1.1868,-1.4505,-1.1868,-1.1868,+0.2637,0.7591,0.9226,0.9226,+0.1635
0,15,15,0.5000,True,True,True,False,-7.3407,-7.1648,-7.1648,+0.1758,-95.4286,-95.1648,-95.1648,+0.2637,96.3956,94.5934,94.5934,-1.8022,45.4945,44.3077,44.3077,-1.1868,-1.4505,-1.1868,-1.1868,+0.2637,0.7591,0.9226,0.9226,+0.1635
0,20,20,0.6667,True,True,True,False,-7.3407,-7.1648,-7.1648,+0.1758,-95.4286,-93.7582,-93.7582,+1.6703,96.3956,93.8022,93.8022,-2.5934,45.4945,44.3077,44.3077,-1.1868,-1.4505,-1.0989,-1.0989,+0.3516,0.7591,0.9226,0.9226,+0.1635
0,25,25,0.8333,True,True,True,False,-7.3407,-7.2527,-7.2527,+0.0879,-91.4725,-86.6374,-86.6374,+4.8352,94.9011,90.1978,90.1978,-4.7033,45.4945,44.3077,44.3077,-1.1868,-1.4505,-1.2747,-1.2747,+0.1758,0.7591,0.9226,0.9226,+0.1635
17,0,5590,0.0000,True,True,True,False,-5.9341,-6.4615,-6.4615,-0.5275,-97.9780,-98.4176,-98.4176,-0.4396,96.4835,94.4176,94.4176,-2.0659,48.6593,49.0549,49.0549,+0.3956,-2.9451,-2.6813,-2.6813,+0.2637,0.9662,0.7097,0.7097,-0.2565
17,5,5595,0.1667,True,True,True,False,-5.9341,-6.4615,-6.4615,-0.5275,-97.9780,-98.4176,-98.4176,-0.4396,96.4835,94.4176,94.4176,-2.0659,48.6593,49.0549,49.0549,+0.3956,-2.9451,-2.6813,-2.6813,+0.2637,0.9662,0.7097,0.7097,-0.2565
17,10,5600,0.3333,True,True,True,False,-5.9341,-6.4615,-6.4615,-0.5275,-97.9780,-98.4176,-98.4176,-0.4396,96.4835,94.4176,94.4176,-2.0659,48.6593,49.0549,49.0549,+0.3956,-2.9451,-2.6813,-2.6813,+0.2637,0.9662,0.7097,0.7097,-0.2565
17,15,5605,0.5000,True,True,True,False,-5.9341,-6.4615,-6.4615,-0.5275,-97.9780,-98.4176,-98.4176,-0.4396,96.4835,94.4176,94.4176,-2.0659,48.6593,49.0549,49.0549,+0.3956,-2.9451,-2.6813,-2.6813,+0.2637,0.9662,0.7097,0.7097,-0.2565
17,20,5610,0.6667,True,True,True,False,-5.9341,-6.5495,-6.5495,-0.6154,-97.9780,-97.1868,-97.1868,+0.7912,96.4835,93.9780,93.9780,-2.5055,48.6593,49.0549,49.0549,+0.3956,-2.9451,-2.5934,-2.5934,+0.3516,0.9662,0.7097,0.7097,-0.2565
17,25,5615,0.8333,True,True,True,False,-5.9341,-6.5495,-6.5495,-0.6154,-94.5495,-90.1538,-90.1538,+4.3956,95.4286,90.8132,90.8132,-4.6154,48.6593,49.0549,49.0549,+0.3956,-2.9451,-2.9451,-2.9451,+0.0000,0.9662,0.7097,0.7097,-0.2565
34,0,11177,0.0000,True,True,True,False,-5.4066,-4.7033,-4.7033,+0.7033,-98.5934,-98.2418,-98.2418,+0.3516,96.3077,94.4176,94.4176,-1.8901,48.8352,49.1429,49.1429,+0.3077,-6.4615,-6.2857,-6.2857,+0.1758,0.4831,0.8517,0.8517,+0.3686
34,5,11182,0.1667,True,True,True,False,-5.4066,-4.7912,-4.7912,+0.6154,-98.5934,-98.2418,-98.2418,+0.3516,96.3077,94.4176,94.4176,-1.8901,48.8352,49.1429,49.1429,+0.3077,-6.4615,-6.1978,-6.1978,+0.2637,0.4831,0.8517,0.8517,+0.3686
34,10,11187,0.3333,True,True,True,False,-5.4066,-4.7912,-4.7912,+0.6154,-98.5934,-98.2418,-98.2418,+0.3516,96.3077,94.4176,94.4176,-1.8901,48.8352,49.1429,49.1429,+0.3077,-6.4615,-6.1978,-6.1978,+0.2637,0.4831,0.8517,0.8517,+0.3686
34,15,11192,0.5000,True,True,True,False,-5.4066,-4.6154,-4.6154,+0.7912,-98.5934,-98.1538,-98.1538,+0.4396,96.3077,94.4176,94.4176,-1.8901,48.8352,49.0549,49.0549,+0.2198,-6.4615,-6.1978,-6.1978,+0.2637,0.4831,0.8517,0.8517,+0.3686
